id	x	y
4	10.10227	6.1030245
116	12.761341	5.7670383
119	10.929621	7.812647
230	12.045147	5.7508616
233	12.342237	5.919351
461	11.558026	9.855254
462	10.63395	9.543944
929	11.508171	6.7040505
1383	14.83297	5.6436424
1612	11.452164	5.840756
1728	12.875279	9.874384
1732	13.7363405	7.4286685
1841	11.019194	8.883733
2533	13.611611	6.461368
2763	10.584658	9.281666
2994	12.938273	7.132485
2995	12.807613	5.5100765
3458	11.58048	5.035481
4371	12.939009	8.952154
4607	11.775695	5.530368
4953	10.721287	7.5873857
5407	12.513659	9.23068
5529	9.725737	6.4346004
5639	13.697412	9.625687
5751	13.891619	6.894023
5869	10.141956	7.1414223
6561	11.631968	9.437885
6562	11.277815	9.534319
6788	13.03903	7.86603
7023	11.628118	6.558668
7363	15.373619	4.66191
7478	11.017617	6.7617826
7481	10.304047	9.225573
7596	14.145832	9.682613
8051	13.600656	8.698803
8058	12.136075	9.028073
8283	13.444437	8.740336
8286	13.634443	6.955082
8397	12.84702	9.333748
8861	15.632481	6.91486
8978	13.726017	8.4145155
9201	11.414565	5.931085
9889	11.989676	4.810475
10572	12.824037	8.86369
10796	13.460958	6.947513
10803	11.404405	6.7679696
11481	14.239875	7.2208595
11712	12.059503	5.772115
11828	14.557526	4.952385
11830	12.945343	7.606986
12049	11.639888	4.73156
12278	13.736103	8.071692
12505	12.407244	8.11743
12509	11.796881	6.2722425
12510	12.927151	9.766593
12734	10.298098	6.7784977
12961	11.863505	6.0937896
13077	12.030977	6.4562845
13085	13.036849	7.5342813
13417	11.201873	8.557146
13426	13.58625	4.83041
14216	12.474105	7.481678
14336	12.726272	6.196998
14900	12.895196	7.2592216
15014	13.473144	5.82484
15362	11.054757	8.776811
15587	14.629429	4.314354
15590	11.701495	4.3599677
15705	13.909728	8.842415
15706	8.926163	6.1737747
15707	11.222494	7.0823703
16384	15.136183	4.9140615
16953	10.642385	7.2988734
17182	11.521399	5.7790494
17980	11.12289	6.731985
18664	12.204507	7.932794
18779	15.855936	6.4402323
18897	11.424885	6.751111
19003	10.8418045	8.237997
19005	10.57762	6.957547
19009	13.235891	4.8117027
19010	12.624571	4.129208
19231	11.537974	9.079178
19234	12.060298	9.788712
19236	12.921891	6.9790587
19349	14.706259	6.4216995
19351	14.726992	8.893726
19461	11.761051	7.0451117
19695	11.461621	5.915115
19801	12.283941	4.888808
20151	14.793673	7.764377
20379	15.132671	6.786187
20489	12.910285	6.6642866
20717	14.700497	5.686892
20827	11.578017	7.9234333
20832	9.449418	9.093494
20833	12.591613	7.6783757
21972	9.34626	7.4084044
21973	12.521361	8.185678
642	12.0783825	6.8156905
1030	13.157988	10.201258
1666	12.280434	6.340776
1668	12.187884	6.826977
1671	9.411616	9.495838
2053	12.30344	7.5385222
2307	14.40577	8.275104
3206	12.656051	5.957857
3331	13.348586	5.759741
3461	15.233903	6.773242
4354	10.172842	8.97522
4996	10.062365	9.382614
5508	10.704043	8.638512
6407	11.002054	8.479341
7046	13.570574	6.622551
7556	14.023404	6.6766663
7557	11.990884	8.190542
7558	12.084225	3.8288932
7812	10.719058	8.25452
8323	13.43454	6.4381943
8705	11.094378	7.2852564
8967	12.938932	6.042096
9217	13.868579	6.9642344
9477	11.829851	5.68867
9986	14.783127	6.1269183
9989	12.344529	6.782091
10117	12.756312	5.098499
10248	12.544298	7.482541
10499	8.780231	7.2285633
10625	10.940702	5.5613456
10628	10.773766	7.799207
11265	14.826297	5.0361834
11649	11.801927	5.6006913
11907	14.383386	8.663537
12034	10.78099	6.4874444
12418	13.164302	9.731209
12930	12.263941	7.562125
13309	13.041859	7.951898
13818	9.29512	6.8752885
14578	11.345856	7.2413063
14703	13.707059	9.297832
14833	13.724049	7.592997
15592	12.034814	7.607777
15593	12.602434	4.986557
15975	12.873533	8.403001
16103	14.465138	4.2544146
16232	14.044933	5.846351
16735	14.367118	7.5057154
16865	12.774759	6.2459
16991	10.603584	8.091943
17116	14.16108	6.6595054
17880	13.253021	6.5853086
18392	12.255665	6.9310236
19659	11.754986	4.0285015
19661	12.396149	4.877574
20169	12.022452	8.771356
20420	11.191121	7.2585135
20548	11.063013	7.5964084
20805	12.290433	6.53553
21182	12.784398	4.4317546
21310	11.09566	6.6293597
22201	11.999862	6.967704
22707	10.583659	7.0261455
23085	14.136763	8.239
23339	12.570849	5.3294716
23342	12.313622	10.257655
23595	12.161089	7.1250143
24229	14.585877	7.861954
24357	13.1345215	9.071198
24863	11.62866	8.096115
1	12.392287	5.6372337
2	11.972737	8.987013
127	13.848612	9.435796
254	15.974803	5.857683
382	14.371517	6.569669
383	11.540783	8.490524
384	7.7291975	7.7944946
385	15.325471	5.9707766
511	13.285961	7.6507316
516	12.2079	7.459675
635	12.801981	9.74589
636	14.459297	6.5729814
637	11.300915	6.3330197
639	14.821252	6.754439
893	12.386849	6.545703
897	13.040572	3.313255
1020	11.64918	4.9780407
1150	12.436098	4.1810513
1271	11.315604	4.236138
1272	10.431215	8.233664
1277	13.2552805	6.3721976
1398	11.055179	7.076791
1401	11.590009	6.033904
1654	13.119344	9.65686
1655	12.566506	3.7023406
1656	12.840707	8.848648
1781	12.679924	6.169944
1907	14.128997	5.9471116
1909	10.466243	6.8348145
2160	12.572692	7.9595637
2162	13.194163	6.655664
2289	14.588157	7.7830176
2417	13.203961	6.512425
2421	14.718818	7.7701883
2542	10.557936	7.670242
2544	11.457637	6.9443803
2673	12.989019	6.5782266
2674	14.240064	7.132637
2922	12.171429	9.297123
2923	8.800236	6.7032413
2926	11.263523	6.066147
2927	12.639303	5.5011954
2930	11.5462885	4.200148
3049	11.479033	7.503878
3058	10.619842	5.4971085
3178	13.3887825	6.764386
3179	11.144569	5.467072
3308	12.434629	6.6598806
3429	12.676138	9.99186
3436	11.306027	9.215781
3557	13.117338	6.8803897
3684	11.586287	6.953829
3685	13.394385	8.635706
3686	13.914939	6.942616
3688	12.183439	5.852277
3812	11.6115885	9.896413
3938	12.032025	5.0463376
3939	10.338927	7.3873086
3940	12.089846	5.6231313
4065	12.294568	9.887841
4066	10.678525	8.383915
4067	11.8309765	6.8357687
4068	14.362862	3.283358
4070	12.538423	3.8571212
4322	11.109205	7.4573755
4326	10.191319	4.988168
4451	11.975177	4.6471286
4700	11.24761	8.329286
4701	11.880094	8.541237
4826	10.791314	7.7855988
4828	11.945867	4.4786158
4833	12.948935	6.1299195
4835	14.660459	8.065735
4954	12.206547	9.169924
4960	11.600189	7.7260213
5208	13.1534815	5.473699
5211	13.368102	6.543508
5334	13.137618	9.938636
5336	13.287006	10.093038
5461	12.31969	6.244888
5462	11.375892	8.353606
5463	13.86788	4.292236
5464	11.342212	8.879729
5470	10.602597	5.7925835
5716	11.604639	5.21944
5718	9.404642	7.8257694
5970	11.971236	5.3683043
5971	11.447528	9.279679
5975	12.449858	5.2288175
6104	11.346886	6.6351404
6355	10.749013	7.544424
6478	14.608844	7.633782
6607	10.120687	8.581322
6608	11.496509	8.374013
6610	12.475539	4.2999225
6732	10.869559	4.826453
6735	10.946486	4.8074303
6863	11.488226	9.262088
6989	13.374976	8.735702
6991	11.458327	4.313612
7369	12.341005	8.30361
7493	15.450996	6.038672
7498	12.441128	7.3013916
7620	10.983112	5.6679087
7626	10.597158	5.0456376
7747	12.14859	4.219426
7875	13.276408	4.818441
7877	12.92347	6.644368
7881	12.261067	6.2685413
8009	10.68166	4.675739
8129	13.290744	3.7898254
8133	11.8386545	5.007621
8135	13.273434	6.0295467
8137	13.495249	6.769504
8255	14.437293	8.765819
8257	10.243338	7.2426996
8263	13.02972	6.3938665
8384	11.800676	5.0144987
8386	15.144711	6.7231703
8510	11.476871	7.685635
8511	12.25337	8.498456
8513	12.655052	6.9399
8636	15.365032	6.1224895
8638	11.770213	4.297403
8642	14.430699	6.365766
8768	12.242329	3.9370306
8890	9.66871	8.452504
8891	12.988701	9.004256
8892	13.990274	4.614334
8894	11.084137	7.863122
9017	13.714205	8.710734
9019	11.865092	5.479443
9020	15.2269	7.6451764
9023	10.299915	5.599263
9024	11.1577425	5.3058405
9144	15.69768	5.1526833
9275	10.6471	5.6232247
9399	12.236875	5.8858447
9400	14.163028	6.8274627
9527	11.956733	6.2399235
9530	10.867279	7.1677175
9653	11.459158	4.745491
9780	14.464508	6.0183277
9909	11.253835	6.3271255
10034	12.55506	8.22276
10039	12.731571	3.5291307
10288	11.895131	7.0613422
10289	12.40079	8.015912
10544	11.788821	7.962987
10547	11.964185	5.133218
10668	12.8531885	4.390776
10674	12.047797	6.1875296
10795	15.426747	6.1499767
10798	11.400934	7.177062
10802	11.959944	5.8747687
10924	12.128672	8.750123
11050	11.385054	7.8135715
11305	9.264403	6.9394875
11310	13.005274	6.6255717
11432	13.2187	6.9138956
11558	14.42986	8.453257
11685	10.997701	9.174519
11686	12.835735	5.866651
11692	12.241578	4.0857496
11811	15.110541	4.902852
11813	13.4465275	4.9774485
11814	11.216731	5.9413276
11817	11.849298	9.210266
11938	12.654199	4.2890067
11940	12.359807	3.7911286
11941	9.243217	8.427648
11942	10.420593	6.548344
11943	11.00821	7.3673925
12066	11.839353	8.1735735
12069	14.117373	4.024601
12073	9.053142	7.167554
12193	13.551495	8.904668
12326	13.990102	7.7075825
12446	11.79865	8.885566
12574	7.3201394	7.190147
12578	12.7758665	7.936496
12706	11.228507	8.604228
12709	10.347822	6.584534
12827	12.58341	4.0330224
12835	13.004253	5.3595896
12957	12.791429	3.8234968
12960	12.100262	4.2682924
13081	12.719879	5.3828793
13082	8.306318	8.645837
13083	12.05278	8.743731
13085-1	11.938902	6.0005836
13209	10.285885	8.523982
13214	11.471773	7.2709365
13335	13.380058	9.325107
13341	11.431968	7.3490624
13464	12.155414	9.208653
13465	9.648044	6.132169
13594	14.070297	6.3195934
13717	12.834978	7.5504313
13718	12.740666	8.683183
13723	13.211042	5.5767083
13724	12.358904	6.9838386
13843	15.539708	7.0504894
13849	13.415116	5.4244375
13970	11.171195	8.393405
13971	12.077463	9.87803
13973	14.035453	5.592487
13974	9.879569	7.978951
13980	11.566602	6.2813277
14097	14.124132	7.6600084
14101	14.102167	6.3243704
14105	11.679466	5.219315
14226	12.70477	3.7963762
14231	13.391604	3.6524599
14351	12.572697	9.243818
14352	11.841609	5.11631
14481	12.77904	7.8039975
14485	10.84514	7.914662
14609	10.902056	6.8360505
14612	13.7565365	5.1210437
14733	14.4150505	6.227225
14861	11.383117	5.013901
14862	11.996893	5.579025
14986	10.20933	5.0573025
14987	12.2175045	4.3301163
15113	12.403188	7.290502
15116	12.4065695	4.838796
