id,Apoptosis,G2/_checkpoint,Cell_cycle,pPSM,NMP,Somite,Neural,NMP_GSEA,Muscle,EMT
4,0.12020087303854377,0.019989604019516653,0.21052786074242244,0.5959455928518484,0.05463991744543078,-0.28710258940687966,-0.3453518686083786,0.041375471697831,-0.05077419651046175,-0.04628230149380956
116,0.08206432111801285,0.041850093226220464,0.06665515544833119,0.05241856824649036,0.4136994386616429,0.11416363666053725,-0.1725119276141618,0.21848454506358556,-0.05077419651046175,0.06318656146045908
119,-0.03829211871531981,-0.035121273160911015,-0.04306550827063354,-0.5401059642709953,0.3280554863759306,0.011855250093642068,-0.3453518686083786,0.10859069828470995,-0.05077419651046175,0.03817442618705484
230,0.15387140418044598,0.14084519352832583,0.09243144586512436,0.5495600617303485,0.22756028346947416,-0.21912026853256217,-0.1806752526218419,0.12513231998774976,-0.05077419651046175,0.09062146729028929
233,0.021008014190173948,-0.034784119568009905,0.00925829261181789,0.7216492843413018,-0.11850076115519127,0.035475006895713423,0.24419707881039524,0.04273085960592304,-0.05077419651046175,0.05127465105031503
461,0.09684052671173812,0.003701684227176694,0.08535238069850781,-0.15057219441748954,0.3340391399703764,-0.28710258940687966,-0.1415698394847243,0.21547605600729675,-0.05077419651046175,0.06047459977125742
462,0.009334868113965207,0.12804228964427197,0.2104944056672439,0.11852676129933565,-0.11677862983831437,-0.28710258940687966,-0.3453518686083786,0.13713471398139185,-0.05077419651046175,0.03291285598088976
929,-0.05089247547642394,0.009082003061208248,-0.012361312758732675,-0.5401059642709953,-0.44431974165949256,0.1436101654621791,-0.3453518686083786,0.1653708110112163,-0.05077419651046175,-0.06785912239078538
1383,0.008639115228326723,0.06050291463836671,0.08759700444996028,-0.07358713265339802,-0.25856964653833797,-0.10387069976751231,-0.3453518686083786,-0.14894478717824663,-0.05077419651046175,-0.07329147241644883
1612,0.13521905552032817,0.10013974689662965,0.12646087542484397,1.574693929661053,0.05650822756427593,-0.28710258940687966,-0.3453518686083786,0.013115843348330006,-0.05077419651046175,0.0785653431799087
1728,0.04676761573500878,0.024045665890048626,-0.05444355321994224,0.20564822522826065,0.1345305801836085,0.5330824088720231,0.5974323410304656,-0.06915366354553844,-0.05077419651046175,-0.05037920600924968
1732,-0.022572196257184866,-0.06918621306217142,0.15567650380887993,-0.5401059642709953,0.5064112125133743,-0.28710258940687966,0.09749743371853192,-0.009270647777013382,-0.05077419651046175,-0.08954966977731355
1841,0.03536267069486082,0.1104588330642803,0.28512574814782404,-0.3577788146377057,-0.049201832843610536,0.19212187276562484,0.01658972700863119,0.0419133485343944,-0.05077419651046175,0.07199698809490072
2533,-0.03535029722887369,0.07639421159047365,0.15853519491312826,0.3679815218583325,-0.02046489561638332,-0.10718403759519016,-0.14041233125683855,-0.17244004602665217,-0.05077419651046175,-0.06202307058467801
2763,-0.09508543593089339,0.09883278054890411,0.12639666860773419,-0.0478327216976992,0.539566426229306,-0.28710258940687966,0.3403765518170038,-0.12272868128365882,-0.05077419651046175,-0.027432068676709068
2994,-0.004623478383159278,-0.03286585434872001,0.09708552222515864,0.20048784354288324,-0.24167158157813784,0.2843270278187554,0.022876734582206612,-0.0051828353721510186,-0.05077419651046175,-0.05378144226723443
