id	day
4	1
116	1
119	1
230	1
233	1
461	1
462	1
929	1
1383	1
1612	1
1728	1
1732	1
1841	1
2533	1
2763	1
2994	1
2995	1
3458	1
4371	1
4607	1
4953	1
5407	1
5529	1
5639	1
5751	1
5869	1
6561	1
6562	1
6788	1
7023	1
7363	1
7478	1
7481	1
7596	1
8051	1
8058	1
8283	1
8286	1
8397	1
8861	1
8978	1
9201	1
9889	1
10572	1
10796	1
10803	1
11481	1
11712	1
11828	1
11830	1
12049	1
12278	1
12505	1
12509	1
12510	1
12734	1
12961	1
13077	1
13085	1
13417	1
13426	1
14216	1
14336	1
14900	1
15014	1
15362	1
15587	1
15590	1
15705	1
15706	1
15707	1
16384	1
16953	1
17182	1
17980	1
18664	1
18779	1
18897	1
19003	1
19005	1
19009	1
19010	1
19231	1
19234	1
19236	1
19349	1
19351	1
19461	1
19695	1
19801	1
20151	1
20379	1
20489	1
20717	1
20827	1
20832	1
20833	1
21972	1
21973	1
642	1
1030	1
1666	1
1668	1
1671	1
2053	1
2307	1
3206	1
3331	1
3461	1
4354	1
4996	1
5508	1
6407	1
7046	1
7556	1
7557	1
7558	1
7812	1
8323	1
8705	1
8967	1
9217	1
9477	1
9986	1
9989	1
10117	1
10248	1
10499	1
10625	1
10628	1
11265	1
11649	1
11907	1
12034	1
12418	1
12930	1
13309	1
13818	1
14578	1
14703	1
14833	1
15592	1
15593	1
15975	1
16103	1
16232	1
16735	1
16865	1
16991	1
17116	1
17880	1
18392	1
19659	1
19661	1
20169	1
20420	1
20548	1
20805	1
21182	1
21310	1
22201	1
22707	1
23085	1
23339	1
23342	1
23595	1
24229	1
24357	1
24863	1
1	1.5
2	1.5
127	1.5
254	1.5
382	1.5
383	1.5
384	1.5
385	1.5
511	1.5
516	1.5
635	1.5
636	1.5
637	1.5
639	1.5
893	1.5
897	1.5
1020	1.5
1150	1.5
1271	1.5
1272	1.5
1277	1.5
1398	1.5
1401	1.5
1654	1.5
1655	1.5
1656	1.5
1781	1.5
1907	1.5
1909	1.5
2160	1.5
2162	1.5
2289	1.5
2417	1.5
2421	1.5
2542	1.5
2544	1.5
2673	1.5
2674	1.5
2922	1.5
2923	1.5
2926	1.5
2927	1.5
2930	1.5
3049	1.5
3058	1.5
3178	1.5
3179	1.5
3308	1.5
3429	1.5
3436	1.5
3557	1.5
3684	1.5
3685	1.5
3686	1.5
3688	1.5
3812	1.5
3938	1.5
3939	1.5
3940	1.5
4065	1.5
4066	1.5
4067	1.5
4068	1.5
4070	1.5
4322	1.5
4326	1.5
4451	1.5
4700	1.5
4701	1.5
4826	1.5
4828	1.5
4833	1.5
4835	1.5
4954	1.5
4960	1.5
5208	1.5
5211	1.5
5334	1.5
5336	1.5
5461	1.5
5462	1.5
5463	1.5
5464	1.5
5470	1.5
5716	1.5
5718	1.5
5970	1.5
5971	1.5
5975	1.5
6104	1.5
6355	1.5
6478	1.5
6607	1.5
6608	1.5
6610	1.5
6732	1.5
6735	1.5
6863	1.5
6989	1.5
6991	1.5
7369	1.5
7493	1.5
7498	1.5
7620	1.5
7626	1.5
7747	1.5
7875	1.5
7877	1.5
7881	1.5
8009	1.5
8129	1.5
8133	1.5
8135	1.5
8137	1.5
8255	1.5
8257	1.5
8263	1.5
8384	1.5
8386	1.5
8510	1.5
8511	1.5
8513	1.5
8636	1.5
8638	1.5
8642	1.5
8768	1.5
8890	1.5
8891	1.5
8892	1.5
8894	1.5
9017	1.5
9019	1.5
9020	1.5
9023	1.5
9024	1.5
9144	1.5
9275	1.5
9399	1.5
9400	1.5
9527	1.5
9530	1.5
9653	1.5
9780	1.5
9909	1.5
10034	1.5
10039	1.5
10288	1.5
10289	1.5
10544	1.5
10547	1.5
10668	1.5
10674	1.5
10795	1.5
10798	1.5
10802	1.5
10924	1.5
11050	1.5
11305	1.5
11310	1.5
11432	1.5
11558	1.5
11685	1.5
11686	1.5
11692	1.5
11811	1.5
11813	1.5
11814	1.5
11817	1.5
11938	1.5
11940	1.5
11941	1.5
11942	1.5
11943	1.5
12066	1.5
12069	1.5
12073	1.5
12193	1.5
12326	1.5
12446	1.5
12574	1.5
12578	1.5
12706	1.5
12709	1.5
12827	1.5
12835	1.5
12957	1.5
12960	1.5
13081	1.5
13082	1.5
13083	1.5
13085-1	1.5
13209	1.5
13214	1.5
13335	1.5
13341	1.5
13464	1.5
13465	1.5
13594	1.5
13717	1.5
13718	1.5
13723	1.5
13724	1.5
13843	1.5
13849	1.5
13970	1.5
13971	1.5
13973	1.5
13974	1.5
13980	1.5
14097	1.5
14101	1.5
14105	1.5
14226	1.5
14231	1.5
14351	1.5
14352	1.5
14481	1.5
14485	1.5
14609	1.5
14612	1.5
14733	1.5
14861	1.5
14862	1.5
14986	1.5
14987	1.5
15113	1.5
15116	1.5
15245	1.5
15246	1.5
15367	1.5
15370	1.5
15496	1.5
15497	1.5
15624	1.5
15627	1.5
15628	1.5
15630	1.5
15753	1.5
15877	1.5
15878	1.5
16003	1.5
16004	1.5
16007	1.5
16009	1.5
16129	1.5
16130	1.5
16131	1.5
16133	1.5
16257	1.5
16258	1.5
16263	1.5
16384-1	1.5
16387	1.5
16637	1.5
16643	1.5
16764	1.5
16893	1.5
17018	1.5
17020	1.5
17022	1.5
17146	1.5
17147	1.5
17149	1.5
17275	1.5
17404	1.5
17405	1.5
17526	1.5
17527	1.5
17528	1.5
17654	1.5
17782	1.5
17785	1.5
17789	1.5
17909	1.5
18035	1.5
18036	1.5
18042	1.5
18167	1.5
18288	1.5
18290	1.5
18293	1.5
18419	1.5
18420	1.5
18670	1.5
18801	1.5
18805	1.5
18926	1.5
18927	1.5
18928	1.5
19050	1.5
19051	1.5
19052	1.5
19055	1.5
19177	1.5
19180	1.5
19182	1.5
19305	1.5
19306	1.5
19310	1.5
19559	1.5
19685	1.5
19812	1.5
19820	1.5
19942	1.5
20071	1.5
20193	1.5
20194	1.5
20202	1.5
20450	1.5
20576	1.5
20577	1.5
20703	1.5
20705	1.5
20825	1.5
20827-1	1.5
20829	1.5
20832-1	1.5
20951	1.5
20957	1.5
21082	1.5
21083	1.5
21206	1.5
21329	1.5
21330	1.5
21456	1.5
21581	1.5
21585	1.5
21710	1.5
21715	1.5
21836	1.5
21961	1.5
21965	1.5
22085	1.5
22087	1.5
22090	1.5
22091	1.5
22092	1.5
22211	1.5
22212	1.5
22215	1.5
22218	1.5
22464	1.5
22465	1.5
22597	1.5
22715	1.5
22718	1.5
22719	1.5
22967	1.5
22968	1.5
22971	1.5
23095	1.5
23097	1.5
23099	1.5
23221	1.5
23222	1.5
23347	1.5
23472	1.5
23598	1.5
23600	1.5
23604	1.5
23723	1.5
23724	1.5
23729	1.5
23856	1.5
23975	1.5
23977	1.5
23978	1.5
24227	1.5
24232	1.5
24233	1.5
24353	1.5
24360	1.5
24479	1.5
24488	1.5
24605	1.5
24606	1.5
24612	1.5
24733	1.5
24738	1.5
24863-1	1.5
24985	1.5
24993	1.5
25115	1.5
25239	1.5
25240	1.5
3	1.5
138	1.5
139	1.5
263	1.5
397	1.5
657	1.5
919	1.5
921	1.5
923	1.5
1051	1.5
1054	1.5
1056	1.5
1179	1.5
1181	1.5
