id	g0	g1	g2	g3
cell_97409-0	1.0804098838428988	1.052193743427088	1.0241753922798527	0.9964134481969233
cell_97413-0	1.016673289864935	0.9784551703968648	0.9414192764434484	0.9055669474309038
cell_97431-0	1.111445643954751	1.046666848684072	0.9857286161044553	0.9284236817074913
cell_97445-0	1.1478331269746256	1.1151833453625082	1.0831503014989796	1.0517609102501815
cell_97452-0	1.1178654593996389	1.07335907754153	1.0305607073897884	0.9894275732797617
cell_97458-0	1.1361781516618563	1.105437460009771	1.0743865726803916	1.0431495334421201
cell_97462-0	1.48400091842236	1.429291193378102	1.376414968537081	1.3253479660961383
cell_97472-0	1.4864501959870615	1.449138081533761	1.4122775332745008	1.3759179185290986
cell_97484-0	1.0127450170334389	1.0067785132580658	1.0001590779838878	0.9929320759763337
cell_97508-0	1.2635810995194543	1.2170875698409065	1.1719894225184941	1.1282905028120214
cell_97513-0	1.7246800895804208	1.6489135230564735	1.5764996136263543	1.5073182362033015
cell_97518-0	0.9547442027433296	0.9145718602280092	0.8760236457310868	0.8390562300629907
cell_97520-0	0.988499702137942	0.9811154193775642	0.9730181246522586	0.9642622670838079
cell_97521-0	1.0802775439156331	1.0771286761278054	1.072338781602244	1.0659880480608204
cell_97534-0	1.7959153657658662	1.701553455807012	1.6124419007115645	1.5282979809332327
cell_97535-0	1.1035208449426583	1.0655588720660596	1.0283256422037943	0.9918757515779154
cell_97553-0	0.9745931614631028	0.9352738079112839	0.8967827983873369	0.8591869729200217
cell_97557-0	1.0910675306598294	1.0690109877752152	1.0469181674025743	1.0248397737180497
cell_97568-0	1.6295982100973487	1.5507418400090747	1.4758088259488564	1.4046253397654433
cell_97570-0	1.0299919643974855	1.0575718551711022	1.0836717609612359	1.1082170005080727
cell_97573-0	1.339934687202558	1.2785364638089072	1.2200133610713806	1.1642498456414905
cell_97584-0	0.9344810206034112	0.8911892380616676	0.8499548437077354	0.8106932954216615
cell_97589-0	1.1017133059937596	1.0893620794397199	1.0759175489293917	1.0614775604820665
cell_97591-0	1.316704656563943	1.2668868411013918	1.2179627228615384	1.170028985753877
cell_97593-0	1.127064603425638	1.0814167787654478	1.0375670340592147	0.9954669743482881
cell_97619-0	1.6509081299550667	1.5667557626109292	1.4870386706563197	1.4115430671613602
cell_97624-0	1.0775455780209608	1.0439534529162473	1.0103745627107896	0.9769212272673498
cell_97629-0	1.018242161312123	0.9812323499339136	0.9446850980632803	0.9086914695386454
cell_97636-0	1.478473246565433	1.4515483441284582	1.424522067062673	1.3974551906922619
cell_97646-0	0.9356346495370358	0.8753800774246373	0.8193182371620426	0.76715086875795
cell_97674-0	1.139687371708073	1.080856516019923	1.0252509109203156	0.9726999294943246
cell_97689-0	1.1096884874808546	1.0253503613393016	0.9479012982042475	0.8767579797633244
cell_97712-0	1.300906958367042	1.252452206008283	1.2056630877051926	1.1605137779598464
cell_97714-0	1.1134201396273722	1.090102809166246	1.066898376721839	1.0438457706617856
cell_97718-0	0.938327659325317	0.9015509958610078	0.8661394081482064	0.8320640182055636
cell_97723-0	0.7740687541152917	0.7543175738981681	0.7345348488772804	0.7147803123683325
cell_97727-0	1.0633724552326738	1.0398079196339238	1.0162718730293185	0.9928184068163598
cell_97728-0	1.243569126376481	1.1918808252397428	1.1423499784237119	1.094906033908083
cell_97729-0	1.0107470230572686	1.0021128407863673	0.9928311939039707	0.982956163005772
cell_97740-0	1.2724898222754717	1.2141924260032753	1.1583902023555224	1.1050173902265095
cell_97749-0	1.023021495025214	0.9741077457393069	0.9271799339855468	0.8822097356290013
cell_97751-0	1.5946807341531266	1.5144982275413779	1.4384789426663778	1.3664259478024832
cell_97752-0	0.9892701228587708	0.9890499240752086	0.9877912635736086	0.9855437031317723
cell_97753-0	1.3289251268091238	1.3042926676482272	1.2794235035745776	1.2543880268680738
cell_97755-0	1.0334268167769758	1.0504995406184434	1.0658338470698356	1.0794111992659858
cell_97764-0	1.0681770366407772	1.0013420359834697	0.9390075750577793	0.880865452136204
cell_97765-0	1.0701423993181158	1.0542453450208218	1.0378981941750003	1.0211657467513113
cell_97770-0	1.2238654818009744	1.2197091504225817	1.2146113960702822	1.2086265382296708
cell_97772-0	1.3749373193430363	1.301018755991243	1.2313434849698455	1.1656722672886863
cell_97774-0	1.0121348097302671	1.0037933171687101	0.9941468283158825	0.9832858266630365
cell_97780-0	1.0482006767025926	1.0393157795552035	1.0295881546594619	1.0190862781743835
cell_97783-0	1.198535734102627	1.1630395919144263	1.1281471450218168	1.093901344224476
cell_97813-0	1.3187643907137692	1.2699164575858468	1.222359552250584	1.1761275512868437
cell_97825-0	0.3887109307800797	0.3686409455502497	0.34962030517652626	0.3316017266298455
cell_97832-0	0.8179403990738244	0.793783196412137	0.769510944606306	0.745214074505863
cell_97835-0	0.8596115232423867	0.8429478979860237	0.8262355422722956	0.8095136828376948
cell_97836-0	1.2962887841204034	1.2717740538215634	1.2467742397541286	1.2213870049406803
cell_97883-0	1.1062528274981998	1.1103735086903526	1.1126698843526912	1.1131938840862627
cell_97893-0	1.372612716364178	1.3052600401837797	1.241017846291836	1.1797885171103863
cell_97897-0	1.3077805773145097	1.2908475602915497	1.2723212705315279	1.2523437169601435
cell_97899-0	1.0623628914002654	1.0694635320507286	1.075363521542496	1.0800933798261316
cell_97900-0	1.5464009427080387	1.513033660745583	1.4798368370429376	1.4468680923130242
cell_97917-0	1.1837639689699786	1.1279016724747148	1.0745472304863373	1.0236227453775684
cell_97928-0	1.062157666855328	1.0717107911442887	1.0795277667597065	1.0856316108683923
cell_97935-0	1.037240005619951	1.0037880037304385	0.9704700610679494	0.9373892491547025
cell_97936-0	1.2844975588144465	1.2350360657523214	1.187110417620456	1.1407258849121409
cell_97947-0	1.0101621509223997	0.9955968414724234	0.9807293319627218	0.9656069319335011
cell_97977-0	1.1517305888270355	1.1150990634914952	1.0791180419943402	1.0438380373559901
cell_97994-0	0.982261673798688	0.9591463104123489	0.9359897045935842	0.9128558841966318
cell_97997-0	1.1460568953035648	1.0986220274007852	1.0531361997805657	1.0095393306634228
cell_98011-0	1.8849140571586231	1.8248115495210244	1.7663193738644334	1.7094415613234692
cell_98015-0	1.0608038107667352	1.0379133511168497	1.0150108872984502	0.9921505093510379
cell_98018-0	1.158457034040816	1.1320477125769186	1.1056346781971675	1.0792835870844344
