,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges
48,MCRIP2,0.00047634917497543317,1.6835846,FANCC,0.0002155743575312617,2.0381997,TESC,0.03367000397106107,1.4157324,EIF4A3,0.17068013774793866,0.8642443,ELAC2,0.20340081991619646,2.4310129,MLLT3,0.1462585278947614,3.0039074
49,AP1S3,0.0005592584730477183,1.2623949,FAU,0.0002090792683905238,0.43660918,C9orf3,0.03462618546624248,1.688648,SBNO2,0.1784648145572459,5.2306705,PDZK1IP1,0.2068946432594971,4.1738777,CD2AP,0.1441043577545206,1.8144926
50,SP4,0.0006401458844714789,24.278955,TPST1,0.00028897601602683484,0.86311173,TMEM258,0.03463749505082877,1.0129757,METTL4,0.1784648145572459,5.2306705,KIAA1211,0.2088984483817056,3.7889166,RAB3IL1,0.14618264975653297,2.1511886
51,GXYLT2,0.0006193424076747769,1.4307874,TMEM123,0.0002900192416097162,1.0766253,IFT22,0.03554633623794608,1.8060583,ZNF410,0.178246901466451,2.580104,MYO7B,0.2088984483817056,3.7889166,CASK,0.15262995836234483,2.891637
52,MT3,0.0007313105589533513,2.48329,TESC,0.0003156138584274746,1.3427789,MCM2,0.03549565527927308,0.93093383,WDR89,0.1775247484738294,1.9618967,DUSP23,0.20656096966898296,1.4658178,MRPS17,0.1491158038240577,1.5067567
53,LSS,0.0008977540665046948,1.007236,C9orf3,0.000336436875286756,1.6864147,HMGN1,0.036124993173344964,0.8334543,NOP56,0.17791344753053204,0.90148044,CDCA4,0.20914331421303,1.2989243,IGF1R,0.15164314082893912,1.5867795
54,GCHFR,0.0009853302054402355,2.475449,HDGFL3,0.00033944781104301166,1.250837,EIF1,0.03673903501080813,0.6203635,HSPA9,0.17792354788862177,0.7760339,COX16,0.21192451628449901,1.8223478,CHAF1B,0.15609012771182806,3.0096726
55,AIG1,0.000991104644910771,1.3566061,LGALS8,0.0003391533248730878,1.2935265,NREP,0.037568112374557386,1.2595606,DACH2,0.1850501874033976,5.614269,FZD4,0.215971180151515,3.6543393,HNRNPAB,0.1489655159801678,0.90000796
56,SEPT9,0.0009903448474598935,0.6688513,GULP1,0.0003587021460565231,1.3926926,HNRNPDL,0.03751459968022384,0.6200895,SCFD1,0.18296792961691324,2.157614,METTL5,0.21425317561273036,1.8293132,PCBD1,0.14903883376183608,1.2134684
57,ITPK1,0.0010340924207762458,1.5991697,HOXA5,0.00036709961598308324,1.2588689,NDUFB9,0.03808216448041805,0.7889214,PCBP4,0.18098959893509556,1.2682244,CEP250,0.21723589211803934,3.565901,FBF1,0.1581050412194615,2.8297157
