,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
23,MFAP2,CACNG3,ANXA5,ARHGEF9,GDF3,HOXB5,GPC1,ACTG1,MRAS,SLC5A1,Meis2a.2,SEMA3D,RIC3,TMEM120B,MGST3,GABPB2,EPCAM,VPS72,NDUFB1,MAPRE3,CEP95,CFC1,ROGDI
24,SDC3,CDCA7L,ENHO,WNT3A,LZTS1,ENO1,HSPA5,PKD2,CASS4,TNFSF10,VEGFD,COL4A1,STRIP1,KLHL42,TPCN2,R3HCC1L,RF00030,UVRAG,CHMP6,AK1,FAM122A,UBE2G2,DHX40
25,HOXA9,PDGFA,CADM1,HOXB7,DACT1,PAX6,PAX7,DMD,AQP11,AKR1D1,TXN,CTXN2,FAM149A,PDHB,MBNL1,FBXO47,SLC4A1AP,LMO4,KPNB1,DHX29,KAT2A,BBS2,ECHDC2
26,GREB1,HELLS,AKAP12,NKAIN4,AMN1,HOXA9,GADD45B,ESRP2,MAP1LC3C,TGM2,RPL8,SYT4,GMPS,C10H15ORF59,ARID3A,SHOX2,MEP1B,CACNA2D1,H2AFV,TCF15,SAV1,GDPD1,SFRP1
27,HOXD12,ACOT7,ZEB2,SDC3,KRAS,FABP6,NR2F2,ID3,CUX2,CALM2,MDK,IGSF21,SDHAF4,SPECC1L,SLC25A39,ASB8,CAVIN2,TP53RK,SUMO1,AGRP,CACYBP,ZNF821,DNAJC18
28,ATP6V1G3,SLC25A5,C10H15ORF59,WNT5B,PBX3,PDE6D,ID3,COL17A1,PITX2,MYL9,STMN1,POMC,IKBIP,LTBP2,SUSD3,UBE3D,FBLN1,PTP4A1,DNAJC9,NCKIPSD,TMEM39B,TPP1,HMGCL
29,SMAD6,TRIM71,ADGRL2,GREB1,NTM,HMGN4,TUBAL3,TFAP2A,HELB,ALDH1A1,COX6C,MYO3A,TDRD1,DLGAP3,ISCA1,LY96,FAM53A,MTHFD1,COX7C,USF1,CDH11,FBF1,RIC8A
30,MTUS1,TMSB15B,RSPO3,DRAXIN,GATA2,LMO4,IGSF21,CDH1,AVD,CHMP2B,MMP2,SPARC,MEST,KPNA7,RPL37,FABP3,TERB1,RNF219,SUPT4H1,CYP19A1,ORC5,RWDD4,HDAC7
31,HOXB5,FGFR3,GNAI3,JARID2,SETD6,CKAP2,MMD,INPP5A,TBX6,EPCAM,SDCBP,GCHFR,AS3MT,HOXA7,SMAP2,BMP10,SLTM,MED28,TMEM250,PTHLH,TTC39A,HERPUD1,HTATSF1
32,DLX5,CA2,LIMD2,SCD,SLC11A2,TCP1,CYR61,HEXB,CLDN16,LSP1,chPKCI,OLFML3,LRRC38,OXSM,YBX3,CDKL5,TRIM54,ERGIC2,ENO1,PCBP4,SEC62,MUTYH,RTF1
33,BHLHE22,RANBP1,OLFM1,GAD1,VRTN,TMEM123,TBX22,ZNF385C,SIN3B,LIMK2,ANXA1,SP5,TRAPPC8,GPER1,FAM210B,KCNK18,PCSK1,CDK2AP1,CSNK1D,COL6A3,SNIP1,GCN1,CCDC126
34,VSTM2L,G3BP1,HOXA4,TPST1,PMVK,MARCKSL1,CDH20,SERTM1,CALR,RGL1,HIPK3,ERGIC2,SOBP,COX16,SUSD1,BCHE,PRTG,PPP1CA,TMEM11,EIF2S1,CYP26A1,MARCH6,RABEP1
35,ZNF423,HSP90AA1,SYNPR,TESC,SSH2,YBX1,SUSD1,YWHAQ,CCDC122,GUCA2A,CELF2,STK10,SZT2,MEF2D,UBA52,SDK1,HTR2A,WDFY1,SRSF7,DMD,TRIM13,NFASC,COX15
36,CSRNP1,PRDX1,ACTN1,ATP2B1,GCHFR,ALDOC,APLP2,MYH9,SHLD1,WBP1L,NR2F2,FOXA2,CACNG3,HOXD11,ALAD,CBX5,PKP4,LSM6,MRPL15,TRIAP1,PTGES2,MIA3,BORCS8
37,SKAP2,YWHAH,PRCP,SPRY2,GJB6,FAM181A,PCP4,SOSTDC1,gga-mir-1732-1,BLVRA,TCF21,LEFTY2,SCARB1,APLF,LMO2,SCML2,CASP2,PAPSS1,KLHDC1,NEBL,PLRG1,IK,KLHL2
38,TGFB2,DUSP14,GDF3,GNAI3,CRABP-I,TUBA1A,LPAR1,RPL37,CNGA1,ID2,MID1IP1,CAPSL,GRIA1,C1orf35,SLC25A37,PTGFRN,ZBTB1,RAD18,CALM1,HSP90B1,TMCO1,YWHAB,CTPS1
39,FABP7,SLC35E3,TIMM50,HOXA9,ESPNL,HOXB7,SIX1,CSRP2,IFT27,TSPAN8,COX7C,HAS2,PARVG,POLL,ITM2A,TSPAN3,REV3L,FBLIM1,PSMA1,PLEKHJ1,SLC35E3,ILF3,CEP170P1
40,NUCKS1,AKR1D1,OSBPL5,ARL1,BF1,NUCKS1,TWIST1,TXNDC17,WDR11,DHRS11,UNC5C,DISP1,ARNT2,RNF121,TXN,SIMC1,AARSD1,MCTS1,POLR2L,SMYD4,POU2F1,NOTO,MAPK8
41,LBX2,ENPP2,TMEM35B,C9orf3,TBXT,WNT4,TIMP3,GPC1,CDK12,TNFRSF6B,MFAP2,PHACTR1,ATP23,CXXC4,ALDOB,ARRDC1,TMEM242,KIAA1191,IMPDH2,INPP5E,RPUSD2,SLC35C2,LDAH
42,C1orf216,SP5,CXCR4,PDE6D,AGRN,SP8,DMRT1,TMEM167A,C7orf26,ARHGAP11A,NR3C2,TLL1,FAM19A1,TDRD3,PRDX1,RAB43,ACSS1,RAD23A,POLR2I,PDP1,DNAJC17,SMPD4,CELF1
43,ZEB1,SFRP2,ADD3,GULP1,GOLIM4,PODXL,CENPX,GPI,IKZF3,KRT19,ARL4C,NPY7R,TMEM135,SOCS1,ITGA2B,FICD,IL2RA,WSB2,MAGOHB,GALM,SRF,CLDN1,ALDH18A1
44,GATA2,ADSS,MAD1L1,LGALS8,ALDOC,HDGF,RASD1,YWHAZ,IL7R,UCH-L1,COL1A1,PDIA4,NEK10,RIPK2,ADA,STRADB,CEP164,MRPL1,CSE1L,ZC3H11A,NFKBIA,DDX19B,SDF4
45,PSMD1,METRNL,FAM46A,HOXA4,COL13A1,BIRC2,TMEM100,ACTR3,CTLA4,MYL12A,CYP26A1,CXCL13,SUB1,GATAD2B,TUBA1B,ASMTL,RXFP1,NAXD,CBX3,EIF2B4,MIS18A,BUD31,WDR89
46,CFC1,PTGES3,CHST15,B4GALT1,NCOR2,CERCAM,GALNT1,ATP1B1,UNC80,VDAC1,SELENOU,CLPTM1,VIP,CCSER2,STEAP3,PPEF1,PEX13,TMEM64,CCT8,UBE2QL1,RASA3,RBM18,URM1
47,HMGN4,VAV3,JARID2,ANP32B,B2M,HSPA5,STMN1,JUP,GABRD,TMSB15B,GLO1,GJA1,EIF4G3,NOXA1,FRRS1,SLC2A12,PQLC1,OPA1,CIRBP,IPP,OGA,HSBP1,GATA2
48,HOXD11,PLAC8L1,SALL1,HOXB8,SCGN,TIMP3,SRXN1,DSP,CSMD3,AXIN1,OPTC,THPO,TLR2-1,MYBPH,RPL23A,VWF,MTMR4,RNF214,CCT5,LRIG3,ILK,HLF,DLGAP4
49,BASP1,EIF3E,RBM38,SNX10,PLIN4,VCAN,LEF1,NBL1,NIPA2,KPNA3,PTP4A1,CLEC19A,IFNW1,DERL3,EIF5A2,CNOT4,DRC7,BEND6,MDH1,GPAT4,ERP44,PSMC3IP,PRKAB1
50,UNC5C,TNFSF10,SLC18B1,LDHB,SEPT9,NMRK2,COL5A1,COL14A1,GRIA3,TYRO3,FZD4,GSC,GRXCR2,ADCK1,SOD1,SAE1,KNDC1,MAPK6,TESC,SMARCA4,CHRAC1,MED30,GIGYF2
51,GPX3,YRDC,IL17RD,MSGN1,RTF1,ID3,GLIPR2,CNN3,TARBP1,DMD,DPYS,COL8A1,LZTS1,DENND5A,CA2,CCDC14,RSBN1L,XPNPEP3,NUDC,KMT2C,ELMO2,GSN,RALGAPB
52,SEPT9,R3HDM1,BTG2,CD3E,ZEB2,ANP32B,COX7C,TP63,KHK,CXCR4,DUSP1,ITPK1,ANAPC7,NCKIPSD,AP2M1,PAPSS1,PHF24,TMEM184C,TCF12,DCAF12,CTBP1,CDH1,H2AFY2
53,ARID3A,MAP1B,SIK1,SALL1,SST,PGAM1,SDC4,CLDN1,LGALS1,TJP2,CCNI,NFASC,TIAM2,CCDC93,ACADL,REXO1,HENMT1,CDC42SE2,HDLBP,DHRS4,KLF10,AP1B1,DDX52
54,DDR2,PPAT,HDGFL3,HOXA5,CACNG3,TMEM132C,KDELR2,PABPC1,MTHFD2L,FIBIN,EEF2,PCDHGA2,CUX2,PRSS23,CLOCK,CDK17,RPL3L,MED20,SRRM1,ABCD4,SFRP1,SELENOI,VPS72
55,Meis2a.2,SGK1,SDC3,HOXC9,TCOF1,LDHB,CDON,LASP1,MAP1A,STX7,PRDX1,CBLB,CHIC1,GTF2E1,AHCYL1,CLN5,GDAP2,ARPC2,ST13,SLC20A1,DRAXIN,KLHL24,EEF1AKMT4
56,DCN,NAP1L1,LSAMP,COMTD1,NFASC,STMN1,HPCAL1,COBLL1,DNAH1,PABPC1,SCD5,FRMD3,CENPN,MIER2,S100A10,NR2E1,SMURF2,XIAP,RPF1,COG5,MIA3,CTSB,HNF4G
57,ID3,AIG1,PPM1E,HOXA11,TWIST1,CHD7,TMEM47,DDT,TRIM7.2,STK17A,RACK1,HSP90B1,SEPT8,TNRC6B,UBE2H,FANCL,CBFB,TMEM70,ABCE1,SLC25A13,CDH1,CHTF18,RF00030
58,GATA5,HSPE1,gga-mir-1723,COL4A1,BHLHE22,HOXC9,HSP90B1,DBNDD2,CFAP99,CDX4,DPYSL2,ADGRL2,FOXJ1,TESMIN,TOMM6,PTGDR,NDUFAF6,C5H15orf57,EIF4H,TTC19,SORL1,PTP4A2,SNUPN
59,PPID,SALL4,JCAD,ADD3,LMO2,ID4,PLOD2,TUBAL3,N4BP1,TTPAL,PCBD1,THBS4,CD80,GPR157,SPTAN1,ZNF362,FUT8,MKKS,MTHFD1,ARFGAP1,LYPLA2,ODC1,MOV10L1
60,PITX2,ZFYVE19,MTURN,ARID1B,PCSK5,GAPDH,RASA3,RPS15A,ETS1,VPS26A,TNFRSF21,TAC1,TOR1BL,ZNF770,NCOA4,TPGS1,CMKLR1,CYTL1,MDK,BCLAF3,NARS2,TM9SF3,SYCE3
61,SERPINF1,STK26,SLC2A1,PCBD1,ROCK1,MYLK,RDH10,RPL29,MAP3K12,WEE1,GLCCI1,HSPA5,ISOC2,EDN2,MCRIP2,ATR,RBPMS,RBM15,PSMC6,RFC2,CDR2,KCNJ13,AREG
62,CDC42EP4,KPNA2,COL5A1,TMEM123,JCAD,AZIN1,STRA6,KRT18,MATK,ARHGAP29,TPM4,FLT4,IQGAP2,LYPLAL1,EAF2,SMC1B,SLC35B3,METTL9,WBP1L,ANKRD11,CCNG2,CASP10,UBL7
63,UNC5B,MYL9,CORO1C,SP5,CADM1,NREP,CD38,SPARC,CYP2AB2,CNN3,IDH1,EML4,MTFR1,MAPK10,AOC1,F5,CD81,S100A6,SRSF2,TTLL12,CD81,DPM2,HOXD12
64,LRRC20,EIF3M,APLNR,MID1IP1,NPM3,COL5A1,RIPPLY2,NEK6,GJB5,BLNK,IGFBP2,DRD4,TLR1A,GPR133,REEP1,CD99,KIT,BAG5,PIP5K1B,CTNS,ALDH5A1,MRPL42,MPLKIP
65,CCT5,SAP30,RAB30,ID4,TAL1,JUN,ALDH1A3,CLDN3,JAG1,CMIP,CDK6,XIAP,MATN4,SIRT7,HAGH,AKAP1,GUCY1A1,MXD1,PRPF19,PARP6,SLC4A7,KLB,KCNS3
66,MAD1L1,PSMA5,POSTN,AXIN2,GATA4,PAK1,CITED4,TPT1,GTF2E1,GSG1,TXNDC5,RAMP2,ACER1,SNCB,SERBP1,FAM13A,ZBED1,C9orf3,ERH,MTA3,EMC7,RGMA,NSG1
67,SVIL,GPX1,FGF10,SKAP2,MEX3A,HOXA7,SLC35G2,TTC39A,AMMECR1L,DAP,MAFB,FLOT2,DHDDS,FGF1,chPKCI,PAK3,GRK6,ATP5A1Z,MED22,ECSIT,LMAN2,SSTR2,PDZD11
68,TCP1,POLR2E,NEBL,BAMBI,TMSB4X,TXN,FGFRL1,CIRBP,STIP1,EOMES,ATP5A1Z,NTM,VPS13C,FABP4,BLVRA,RFTN1,PARD6A,CMTM7,SEPT7,ABHD12,SNX14,YEATS2,VPS37D
