,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
102,PCMT1,CBX3,ABHD4,HOXA3,RBBP6,GPM6B,NOP58,DUSP7,GPR82,ST3GAL1,HIC2,PEX5,DMBT1L,TMEM17,ATP5F1B,RERGL,DRAXIN,MSX1,MPHOSPH10,SH3RF2,JADE2,RMND1,NT5DC4
103,UBAP2L,SUMO1,TOM1L2,CMTM8,AMY1A,RBM26,HOXC10,PARD6G,GABRE,EIF4A2,SNX6,SNX14,C26H6ORF125,RASSF6,SLC43A3,TOP1,IGF2BP2,DACH2,SNU13,DYDC1,RPL26,KCNA10,CEBPG
104,RAB8A,RPS2,SYNDIG1,BDH1A,MCRIP2,DAAM1,PPID,MSX2,CTBS,PLPP1,TIMP3,MYOD1,CCZ1,NRROS,MEMO1,PLXNA1,FSCN1,GPATCH11,PSMG4,RTN4R,RCOR1,FBN1,MYPN
105,RBM38,MARCH3,DYNC1H1,RORA,PERP2,ANKH,RASGEF1B,TJP2,CMTR1,BATF3,CNN3,NEURL1,ADRB1,PXYLP1,CNTRL,SETD5,MALT1,ORC5,SALL1,PSMD13,FAM222B,CEP170P1,WFDC2
106,ZFHX4,WDR1,CLMP,EVX1,SMARCC1,DCTN3,TCP1,CDK6,SGPP2,FN1,COL12A1,GABBR2,SNTN,TUBD1,RFESD,BTG4,RALGPS1,CAP2,LMO4,ATP2A3,ACOT7,GFM2,RF00281
107,UTP4,MPHOSPH6,LPL,CD63,P2RY4,HMGB3,SCD5,HS6ST1,BFSP1,ABCE1,gga-mir-3526,MARVELD2,U2SURP,HJURP,TST,MTHFD2L,DNAJC12,SSBP1,PFDN4,P2RY6,RIPPLY3,BTG4,DUSP14
108,S100Z,RAB5A,LFNG,TIMM50,KLF15,DGCR6,OLFM1,TPM3,ADAMTS14,CIB1,LDHA,ACTR5,RASGEF1A,SNAPC1,SKP1,PROK1,RGL1,ZCCHC7,NOP14,ZMYND12,CCNI2,PCK1,SYNC
109,CYP19A1,TJP2,MAGI1,H2AFV,RSPO3,HMGB2,GAS6,PDLIM1,RGMB,AMN1,HOXD8,FAM20A,CCP110,USH2A,EIF3F,PROX1,TPM4,KLHDC2,GAPDH,DMRT2,OBSL1,ADAMTS20,ID4
110,KIFAP3,COPS5,RASL11A,CDX4,MXRA7,MIF,SNRPG,ANK3,PCGF1,PDLIM5,OLFML3,SEMA6A,UBA2,FRMD6,TPT1,BTRC,DOK4,MRPS23,STRBP,MAMLD1,IL6,FAM206A,RGS8
111,SEMA3F,PPP4R2,MANF,PSMD1,IMMT,ZNF207,NTPCR,APOD,SERTAD2,AIFM2,ELK3,RUNX1T1,RRH,GGH,KATNA1,FAM118B,MSGN1,VKORC1L1,HMGB2,DUSP27,SERINC4,PTX3,FBXO42
112,EVX1,CCNB2,PDIA6,HMGB3,ELMO1,PREPL,FGF18,TXN,BSPRY,SALL4,NDUFC2,CHIR-AB1,DYRK3,FBXL2,RPL11,HOXB8,RNF165,VEZF1,MARS,SH2D4A,CTU2,MRC1,STMN2
113,FZD4,WDR5,PVALB,DIXDC1,RNH1,SDC2,CIRBP,SH3YL1,KCNH6,ELOVL5,MGST3,PLCB4,BANF1,DLL1,FAM192A,EHBP1,HSPG2,CACNA1G,SLC9A3R1,SLC26A3,ENPP3,GXYLT2,CIT
114,MBNL2,IFT20,SKP2,DHCR7,UPF3B,TPST1,LIFR,ENO1,HIPK1,BMP5,MAST4,LZTS1,TMEM192,GPR137C,FKBP3,ADAM19,S100B,POLR2B,RALGPS2,SFR1,CYP3A4,SRSF5,ABI2
115,VOPP1,GXYLT2,SS18L1,BAZ2B,SHC1,ADD3,GDF3,ASTL,PPP2R2B,SIK1,ACTG1,SYNM,USP10,BDH2,GLRX,GOLGA1,DAGLB,NOB1,PECR,ZBTB33,PPP6R3,CSTF1,CHL1
116,FZD2,PHAX,GPC1,NUCB2,FKBP9,UHRF1,Meis2a.2,CALM2,NPHP4,PPAT,FAU,SDF2L1,STN1,CENPH,SLC6A13,MCCC1,FBXL5,SRD5A2,DPYSL2,LRTM1,ADGRB2,HPS1,RANGAP1
117,SKP2,SLBP,NTM,ARHGAP8,TFF2,PSAT1,MANF,SKA2,KCNH7,BAIAP2L1,PSAT1,GLG1,FGG,ANK3,OSBPL1A,C20orf194,UFL1,RPTOR,PFDN2,DGKD,ABRA,PLEKHA7,MAST1
118,EXOSC7,CDK1,PDIA4,CCNH,PIP5K1C,SRSF3,LLPH,ADD1,RBM11,NAT8L,PARK7,CNTN2,C9orf116,MUL1,ZFPM1,HS3ST3A1,NCOA7,PPIG,RPS16,CPD,AOX2,GCGR,MTSS1
119,HAND2,KRT19,CKAP2,CTSV,PGLS,DBX2,RNF11,RPL4,MAVS,ARL4A,RPL35,PALM,SPON2,SLC47A1,GCAT,SLC16A9,TNRC6C,FITM2,PSMD10,CNTN3,LHX1,EXFABP,VSTM4
120,THOC1,MCMBP,PCSK5,SS18L1,RADX,ARHGEF9,SNAI1,RPL11,HOXB2,PLK2,PSMB3,ITGB8,VWA9,OXLD1,C8orf59,TCF21,APLF,ALDH18A1,VDAC2,CHDH,U2AF2,DAB2IP,UBE2O
121,NIP7,TTLL12,HSPA5,FGF1,SNX11,ANKRD11,ACTN1,SEC61B,RCAN2,TDRD7,IFT74,RDH10,PTPRE,OPN1LW,VDAC1,PIKFYVE,HTATSF1,PTDSS1,EXOSC9,BBOF1,DCP1A,NIPA2,LOXL1
122,BCL9L,UBE2G1,CD276,SAP130,GADD45G,AP1S2,CCT6A,TBL1X,ADAMTS7,ADAMTSL2,EIF4EBP1,ADAM12,CRELD2,TAF6L,NDUFB9,SMC6,PARP9,AHCYL1,HNRNPDL,OGFR,NCX1,CD2AP,IGF2BP1
123,SSU72,AURKA,RAPGEF1,MAOA,ASPHD2,CCT5,C5H11ORF96,PARP16,PITPNM3,SRGAP1,SIX1,MMD2,NDUFB6,ACSS2,FBXO45,CAP1,ZNHIT6,DEGS1,YWHAQ,TANC2,GRIN1,PSMG2,FANCI
124,IL11RA,ARPP19,TUBA1A,COX7C,DLL1,ILF2,TPM4,H3F3C,WTIP,FILIP1,PGRMC1,EPHA1,ENG,FANCF,ATP5MF,AGPAT4,ETFA,FBXO42,UQCRFS1,MLLT6,SALL3,GFRA1,KIAA0319
125,PPEF1,CAPN11,ALG12,HOXB9,LPL,ELAVL4,CRIP1,MT4L,GNA14,PITX1,C1H12ORF57,TATDN3,SLC4A7,COX10,SLC29A1,TRPM3,PMEL,BIRC2,CCNB2,SCARB2,ARNTL,IGSF9,TCP1
126,RBBP6,RBBP4,LPCAT1,PUM1,MYC,CCT8,CD82,TNFRSF19,RAB11FIP3,BFSP2,GLRX2,APP,LRRC42,TMEM254,AP5M1,SRR,ASCC1,INTS2,CDCA7L,RSPH1,DAZL,TSPAN2,SPIDR
127,GATA4,CTPS1,ZDHHC20,BAG3,UBE2C,PKM,TWISTNB,SCRN1,NCOA1,DBI,C14orf2,MALRD1,SMPD3,ARNTL,NDUFA4,ELP6,BMPR1A,AKTIP,MID1IP1,FREM2,TMEM17,PLCH2,NUDT6
128,TTC27,PPIF,CSRP3,HDGF,TM7SF2,EVL,MYF6,ABHD17A,MUSK,SLC9A3R1,RPS15A,TRMT9B,PPFIA4,SALL3,RPS15A,RIN2,SLC39A13,FAM126A,STRADA,ELAVL2,MAU2,DGAT2,TBC1D12
129,MARCKS,COMMD2,ISLR,KIF21A,TMEM63B,LTBP1,CCT8,AHCY,PXDN,ZYX,PDCD4,HYOU1,SLC7A3,C2orf88,OSBPL6,MSH4,SLC2A13,INTS1,RRM1,RER1,CDCA9,PHF10,SEC16A
130,TPRKB,DCAF13,PLPPR3,HOXC12,B4GALT1,TAGLN3,MAGI1,VGLL1,CNNM4,FAAP24,BARX1,RELT,SH3GLB2,CACNG5,CREG1,C16orf72,PRDM4,KIF5C,TUBA1B,TBX2,DAPK1,SMCO4,G3BP1
131,ACER1,CTSB,FBXO2,HEXB,FLOT2,DDX51,CALML4,NET1,ABLIM3,FAH,GPC3,C15orf48,IFNGR1,DNM1,MYC,TENM2,RBPJ,SMCO4,NDUFAB1,STC2,HIF3A,GJA4,FRYL
132,KERA,EOMES,SDC4,FGF13,UPF2,ZFHX3,RND2,PLOD1,TRIM23,SH3YL1,VIM,MARCH3,SAMD8,GCNT2,C1QTNF2,CDH2,CWC25,SYNCRIP,PRRC2C,SERPINB1,SYT6,ADGRG1,XPA
133,UBTF,SEPT6,CENPX,SMC6,PLXNA4,CXCR4,SUB1,RAB7B,PIAS4,SAP30BP,TOMM6,NRXN1,C8B,C10orf88,HPF1,KAT14,BOK,GLI1,LIG3,ASPSCR1,HGSNAT,CDC23,PREX1
134,SMAD2Z,PCBP2,LOXL1,RC3H1,PFKL,PCBD1,BTF3,RPL26L1,CHRNA7L,TGIF1,ACAA2,C1QTNF6,POU1F1,CASP7,RAB3IL1,SORD,RHOGL,SUMO3,PHPT1,SYF2,OTUB1,TRANK1,CASP9
135,MARK1,DNAJA3,LIFR,LEFTY2,APOD,CLSTN1,MESP1,RPL23A,PRKD1,TTC9,PLCG1,NAPEPLD,STK17B,TSHZ1,SIM2,PFDN5,PLTP,RPGR,AKR1D1,SMURF2,TEX9,C2orf42,LGALS1
136,SLC39A3,RCL1,KLF7,CHIC1,GYS1,CCDC14,NCL,FAM102A,KY,TSPAN13,CDCA9,ARHGEF11,BPNT1,SYK,ABHD17A,MALT1,WIF1,PDK3,EIF1,SYK,PCDHB4,KCNH4,CER1
137,KYAT1,PPM1A,NALCN,TMEM64,RGS3,SRPK2,RASL11A,NDRG1,HECW1,HPRT1,PTDSS1,CCK,B3GNT4,CLASP1,FLOT2,HERC3,WIPI1,TSC22D2,PTTG2,CCDC47,DNAJB4,BHLHE23,DDX31
138,RRP7A,DPYSL3,MPP6,SH3D19,FBLN2,XPO1,CCT5,MYLIP,KCTD18,PRKCI,CEBPZOS,TOR4A,CARD9,KCNIP2,ZNF704,ZDHHC20,SORBS2,GAR1,TPM1,ARHGAP27,THAP4,BMPR1A,NSUN2
139,SEM1,CD24,TRAPPC2,GLG1,Wpkci-7,HOXC12,ALG12,TPD52,ERICH1,GRAMD1C,MRPS10,EXFABP,FAM171A1,QPCT,DLD,RPP25L,UBXN10,SLC7A5,TGFBR1,EPC1,PLPBP,PDE9A,TMEM209
140,RNF182,PISD,DKK3,NDC1,PEX11A,HSP90AA1,SNRPF,SEC13,ZNF654,LGALS3,LBH,APH1A,AGXT,UNC93A,FAM177A1,ALG3,GATA3,WLS,PSMA3,GSG1,CWC25,SLC25A39,UBASH3A
141,WDR89,SP9,CYB5R3,TMEM163,CLCN7,HSP90AB1,SSR1,RHOA,TMEM203,APOC3,CSTA,TM2D3,CRYBA1,NCLN,MPST,HPDL,PCDH15,ANLN,NFKBIA,ARHGEF28,GALT,SREK1,MCF2
142,HSPH1,ANP32E,PLXNA2,LPGAT1,RAB26,LFNG,PSMB4,YWHAB,MAP4,ATF3,RPL11,METTL16,NPL,LONRF2,MCUB,TAPBPL,GEMIN5,ELMOD3,GLRX5,LAMB4,RBMS3,MAP2,LOXL2
143,ATXN2,SUMO2,ZDHHC5,PHACTR1,PPIB,QDPR,CHMP4B,RAB1A,BICRAL,NET1,FBLN1,CHST12,SCYL3,DNASE2B,FXYD6,BHLHE40,IER3IP1,PDE6D,SAP18,ACOX3,AZIN2,C4H4ORF46,CCDC171
144,PSMD7,WASL,NDP,ACVR2B,SNAPIN,MSN,TCF3,CAPZB,TREM-B1,ATP5MC1,FAM173A,CALML3,PDE6G,ZC3HAV1,GRPEL1,LETM1,DENND4A,RILPL1,AHCTF1,CHIR-IG1-5,KLHDC10,SLC37A4,MAK16
145,OLFML3,NDRG1,RIPK2,ABHD18,BMP2,BRD2,PENK,EMP2,ACSBG1,PLS3,MIF,THEMIS2,IFITM3,WT1,NDUFV2,HEYL,FBXW11,GPR139,NDUFA6,UGGT1,COX15,SNRK,G2E3
146,YME1L1,SRSF1,HMGN1,ITGA4,TUBB6,TIA1,DKK3,SEM1,MAL,VOPP1,RPL27,SP6,POLR2F,IP6K1,UROS,REEP3,RNASEL,CEP70,FAM49B,C1orf21,ACSL1,MAPKAPK2,MRPL45
147,RRS1,BZW2,SH3BP5,FAM3C,COL1A1,CCT6A,NHP2,ITGB5,SH2D1A,RAPGEF3,BCL11A,ERLEC1,GABRB3,FASTK,NDUFAF8,CHORDC1,RALGAPA1,TMEM35A,MOSPD1,MXRA8,Wpkci-7,KIAA1217,TMEM158
148,DLX3,PFKL,KIF5C,S100A6,GREB1L,HNRNPH3,SDF2,COL5A1,LRIT1,ESRP2,FAM107B,CHRNA4,SORCS1,MSLN,ADAL,RFX2,VAC14,TBL1X,CDV3,GALT,ATRNL1,PYROXD1,PMEL
149,SFRP4,IGF2BP3,MEIS1,ZBTB2,WNT8A,SFPQ,KANK1,NKAIN2,FBLN2,LMO4,BLOC1S2,MTERF2,EGF,GDPD5,CDV3,USP36,SLC20A2,IST1,DNAJC5,OSBPL3,CFAP45,MKRN2,ATP9B
150,SLX4IP,CSDE1,SMARCD2,SARNP,TRABD2A,PALMD,H2AFZ,HK1,TRIM33,EAF2,CTBP1,HYAL1,gga-mir-3533,SDK1,E2F1,LPIN1,TMEM245,TFEB,DPYSL3,NCALD,COX5B,TPM4,ABHD6
151,ACTB,ATP5MC1,PNAT3,GXYLT1,ST3GAL1,NUDT16L1,SLC25A6,MYL9,EPB41L5,UBE2G1,BTF3,DDC,RIOK2,MAP2K1,ARRDC2,LCORL,ELOVL1,RCC2,ZNF423,FYTTD1,MRPL51,SRBD1,FBXW5
152,SERBP1,ZNF143,HOXA3,TKT,GFRA2,PSMD1,PCSK5,SP8,RASSF3,AP1M1,UFM1,KCNJ15,SYNPO,TLCD2,ATP5A1Z,LRRC1,DECR2,TTC7B,EIF3I,ZIC3,VTG1,CRY4,HMGCR
153,ATG4C,CFAP20,HOXC10,HOXD8,CIDEC,FBLN1,NDUFB4,MAPK6,HEPH,BDNF,H2AFY2,SRPRB,KIF23,TMOD1,FAM96A,TMEM101,TMEM106C,BPNT1,CSTF3,ACO2,MYOM2,AIG1,PPP4R1
154,TLNRD1,THG1L,TCEA2,KCNK17,TRMU,TKT,CTNNB1,PRDX1,SSX2IP,GLT1D1,OTUB1,TRAPPC11,CREB3,IARS,MRPL50,AFF4,MTFMT,SEPT11,RPS6KA1L,SLC41A1,SLC29A3,SSTR4,ZNF608
155,ZNF516,NEK2,CABP1,UGT8,CHRNA4,TM7SF2,TRA2A,HADH,LXN,TMEM37,AP1S2,ARAP3,TERT,KIF21A,ASB6,OSBPL5,DLX6,MSL1,NFYC,UROD,MAP3K1,ERC1,FLRT3
156,GPATCH4,PNRC1,TMEM170B,REEP1,STIM1,TPI1,MAFB,ANXA11,RNF38,KIAA0930,CIRBP,CALU,NEIL1,HSPA13,DAP3,MFGE8,PKD2,NDUFB4,FASN,WTAP,FAM206A,PRRC2C,GDF2
157,PARS2,DDX10,FASN,HNRNPA1,CTSA,CRMP1B,XPO1,UBB,DNMT1,WSB2,H3F3C,AASDH,MVP,WNT3A,EIF4A2,IDUA,CCND3,GYG1,MCRIP2,BTG4,MALRD1,APOC3,WDR13
158,TLE4,CHCHD4,TCF15,BTBD3,SDSL,NSG1,ATP5A1Z,PRELID1,CLIC3,EIPR1,DHRS3,NBEA,RHOG,AP1B1,LARP1,ADA2,DERL2,FAM169A,SEC61G,PDK3,COASY,RASEF,URB1
159,CCT6A,YWHAB,TNS3,TWSG1,DDX46,BID,RPL27,MICALL1,REEP2,BTBD10,EPHB3,EMILIN2,RGS14,CEP85L,COPS7A,PCDH9,RF00004,PCLO,ASCC1,PURG,PRKCD,ANKRD13D,CARS2
160,PMAIP1,C5orf30,PDIA3,SCOC,AMER1,H2AFZ,DYL1,SCARB2,RF00001,YTHDF3,MBNL2,P2RY4,STK38L,TTC31,SNX20,MST1,FAR2,CYP19A1,FEN1,SHISA2,ACTR8,DCAKD,PUSL1
161,chPKCI,TSPAN13,GDPD5,SOD1,CNR1,ATF4,PPIB,PTBP1,GAS2L1,SFRP1,YWHAZ,IQSEC3,SELENOF,PLCE1,INPP5E,HERC1,ANAPC2,RAB3A,NOL7,SMN,PRELP,CAMK1G,PPA1
162,HOXC9,TPD52,RGS1,SPIN1W,ADAM12,HNRNPA2B1,TENM3,RPL27,BPIFB2,ARHGAP24,SRI,EPYC,DCSTAMP,WIPI1,PSMD3,MARCO,PDE5A,EEF1A2,ECT2,MALRD1,TMEM266,MLLT1,CHRNB2
163,SLC4A7,PLS3,MAP7D1,TXNDC5,PLP1,SPRY2,CPZ,FKBP9,PTF1A,LURAP1L,DECR1,SLC18A1,NAPG,PCNT,CTBP1,PFDN2,CP,PSMB4,MPHOSPH6,MAP1LC3A,ARID2,KDELC1,LSM1
164,POLR2C,KPNA4,TMCO4,TTC26,NDUFB10,TRA2B,CLEC19A,EIF4A2,ADTRP,RWDD1,ROMO1,CDC20B,HPDL,SLC29A1,GMPR,LMBRD2,TMEM56,CFAP20,NDUFB9,PTK2,EXFABP,CREB3L2,FLNB
165,RUVBL1,CTBPL,ZEB1,FUBP1,CCK,KIF4A,MCTS1,EMB,PKN1,TSPAN16,PABPC1,RORB,LBX2,MSANTD4,ARL4A,NFIL3,SLC34A2,COL9A1,SAP130,COL5A2,HHATL,LTA4H,PDS5A
166,SEPHS1,THOC7,WNT11,NASP,FAM208B,OLIG2,MVB12B,SUCLG1,WDR13,HMOX1,MYDGF,ABHD17C,FERMT2,RNF139,MBLAC2,WNT3A,ANGPTL1,TBPL1,GLO1,LRFN5,TNNC2,RBX1,ATP1B1
167,SKA2,SRSF2,APCDD1L,CHAC2,PCSK2,JAM2,HNRNPDL,HOXA9,MSL2,CMTM8,KCNE3,HAS3,AKR1D1,PCP4,NDUFS4,SH3GLB2,R3HDM4,HOXD8,DEK,EIF3F,ATCAY,E2F1,CYP4A22
168,ISLR,MLF2,AACS,ACTG1,ARPC5L,EIF5B,SERBP1,DDR1,GPR160,EIF3E,ANK3,PROK1,STK24,PSMG2,ASNS,ITGB1BP1,STUB1,COMT,ZMAT2,ST6GALNAC2,SLC46A1,GLYR1,SOCS7
169,SNAP29,ST14,CSNK1G1,NPTN,TRIM37,FABP7,DYNLL1,BDH1A,PHLPP2,MNX1,PRDX6,UNC45B,WNT9A,MRPL41,GCSH,RASSF2,CBLL1,ARL8B,PPP6C,GLA,CHL1,SUGP2,BLNK
170,SH3GLB1,EDF1,RUFY3,TENM4,DHCR24,FOS,GSDMA,CENPS,SERPINB1,GAB1,VDAC3,GJA4,R3HDM1,NT5C3A,CBFA2T3,HAPLN3,EARS2,TRPC4AP,WDR53,DENND5A,SEL1L3,SMC1B,JAM3
171,GORASP1,TPT1,NPY2R,S1PR1,LGMN,HNRNPH2,TMED1,SS18,PTPN14,ADA,AKR7L,AXIN1,TBX2,LCP1,GSTA4L,TATDN1,GPAT3,IGF2BP3,EDF1,MED23,A4GALT,SLC25A22,ROBO2
172,LDB2,CD2AP,ABHD3,HMGCR,NOTCH1,CYB5R2,P3H2,BRI3,CSGALNACT2,SGK1,TIMM9,TSPAN16,IL1RL1,ISPD,NFS1,RASL11A,OSBPL7,RBM22,SMC4,TMEM116,TECTA,MICAL3,HIBCH
173,PFN2,NUDT21,HSP90B1,RUFY3,PDHX,ATP5F1B,MARS,ARHGAP17,SYNJ1,TTR,MTAP,ECH1,RSPH9,STON2,C12orf66,WASHC4,RCBTB2,SFXN2,MMGT1,OPRM1,ROMO1,SNTA1,SNTA1
174,MKP3,SCRN1,NKD1,SYNE2,CTSB,ID1,NTN3,CYTL1,ATP2A3,CCDC186,CETN3,WHAMM,ZMIZ1,CENPU,ITPK1,GPR1,ARL6,CIRBP,UQCRH,SUSD2,GNAL,MID1IP1,YAP1
175,RF02271,TNFAIP8L1,ANKS1B,BICD2,PYGO2,C1H12ORF57,RPL11,UPK1B,KRT15,ALDOB,FEZ1,TBC1D20,PPP1R10,CTXN2,HBE1,USP46,LHFPL6,HERC2,GTF2B,THAP4,CLPTM1,ATP6AP1L,NAPG
176,CYTL1,NARS,NUDT12,PTPRM,TLCD2,CDCA3,ILF2,RRAS2,OPN5L1,ANGPTL3,H-RAS,GRM8,F10,TAF11,MRPL51,TCEANC,MLLT10,PREPL,DDT,PBX1,DIMT1,YAP1,KLHL42
177,HEXIM1,VTN,FUCA1,SERINC1,AQP1,PRPF8,RPL29,RPIA,C8H1ORF146,ACSL1,RPS2,NOG,PPA2,IRAK2,TRAF3IP3,Smad7b,TPR,SLC35E1,SOD1,ZNF330,PTPN12,CEP70,PLA2G6
178,MRPS10,PACSIN1,WBP2NL,RALGPS2,GLB1,TUBA3E,TXN,HP1BP3,NFIA,DYNLL2,SHH,IL18RAP,HIBADH,IMMP2L,RCL1,PLA2R1,ZFC3H1,CAAP1,CETN1,COA5,AGPAT3,LRRC59,BTAF1
179,NAALAD2,MRAS,POLR3A,C3orf70,CD8B,BRSK2,RPS15A,PRKAR1A,SYK,NDUFS1,MPC2,LRRTM3,EPAS1,TSTD2,VRK1,PEX13,CRY4,DYNLL2,CHIC1,PEX2,ROR2,CCSER2,RAD51B
180,GABRG2,D2HGDH,LIN28A,HES1,CTSD,ALDH7A1,ANXA6,BCL2L1,LRP4,ADSS,SPRED1,CACNG5,RIMS2,CD3E,DTD2,ITSN2,DHX29,SMARCE1,ARIH1,LCP1,HTT,METTL9,ZFAT
181,SLC16A9,GOT2,BRI3BP,SP8,KANK1,CNN3,AKR7L,EGLN1,CNRIP1,SLC25A15,BTG1,FLVCR2,SALL3,CDK20,RDX,TNFRSF11A,NEK7,SH3GL2,NDRG4,ANGEL2,CCDC117,ENOX1,HBS1L
182,SRP14,PHC1,MB21D2,PRTG,GSE1,HNRNPDL,NDUFB9,ADGRG1,GUCA1C,MPP1,NAA20,CTNNB1,FURIN,MAP3K9,VWA9,gga-mir-6586,LIG1,ST3GAL6,NARS,SS2,ITFG2,CCS,KDM3A
183,GYG1,SBNO1,SERINC1,FGF10,MTDH,NDRG1,SYT11,SUMO1,ATE1,MYO6,BMP4,ENPEP,LRRFIP1,PBK,SNRNP25,PTCH1,MAP2K2,FAM96A,GNL3,PARP8,DOCK4,ZFAT,RRNAD1
184,HOXD4,SLC25A22,KLF10,IPP,INSIG1,KCNJ2,FER,RNF2,ALDH5A1,DESI1,PITX1,SYNJ2,RNF165,ODF1,IRF2,RIC1,HOXB2,SPTAN1,UQCRQ,SOX1,CLGN,CACNB1,RAP1GAP2
185,PREPL,GBX2,BTBD3,WAS,SELENOI,ACKR3,HNRNPA2B1,EZR,TMEM64,FYB2,SPOP,CA7,HTATSF1,IPO9,RPL37A,KLHL15,MANEA,PRPF8,SCP2,CYP2J21,MYO1B,FDXR,MEMO1
186,C22orf39,SMIM20,MYL6,PDIA6,PAX2,ENKUR,FAM161A,FAM89A,NSMCE2,GPI,NDUFB5,RXRG,ERGIC1,MAP4K4,GCLM,NEGR1,IFT80,UBB,XPO7,REEP5,SIRT1,BMP5,TMEM240
187,LAMA4,BMI1,CMPK2,YTHDC1,CSRP1,YWHAZ,SREBF1,RPL35,CLCN3,ARFIP1,EEF1B2,SLIT2,RPTOR,BCOR,EIF3M,FAM102A,DGUOK,ZNF462,KIF5B,PXN,SEMA6D,SNX20,ARNT2
188,CHCHD1,RLIM,NUP210,GPM6A,PAFAH2,SNRPG,HNRNPH2,SUMO2,SMG1,RDH10,JUN,CFAP126,RNF8,TRRAP,NOP56,FRRS1L,WDR18,PHF13,RAD21,CLCC1,ASL1,STIP1,METAP1D
189,FRMD6,SPCS3,GULP1,VSTM5,PIWIL1,ADH5,HDDC2,TUBB2B,TRAF2,RARB,ETFA,RND1,ESRP2,ARHGAP35,WDR76,SPRY3,PHTF2,LSM4,UTP18,CLMN,PIM1,LRRC4C,RHOBTB1
190,SMIM3,CPSF4,EXD3,ALDH7A1,SDHA,POLA1,CNIH4,VIM,DGKI,ZCCHC10,HMGB3,TMBIM1,SIKE1,TGFB1,CACUL1,RF00270,ANKRD50,WNT3A,EMC2,HSPG2,CALR3,DTD1,SLC1A3
191,WFDC1,SUCLG1,ATF4,TCF12,TPP1,BCL7A,FXYD6,ADSS,TPO,SPATA2,DCTN3,NCF4,SPEF2,SMCR8,LAP3,LMF2,SAMD12,ELF1,NCBP2,LPIN1,DHDH,FAM32A,SYNE1
192,PRKAR1B,RAN,HNRNPAB,HOXB13,APLP2,RTN1,SERINC1,P3H4,PCOLCE2,ARID3A,LIMD2,NRN1L,APOC3,TNRC6C,RPL8,MALSU1,SYT12,CSGALNACT2,RAD23B,FGF3,FRYL,ATE1,MCCC2L
193,MRPL41,COX5A,HOXD12,TMEM154,PVALB,TOMM6,FZD2,FABP7,BTBD11,CNOT8,PELI1,SLC29A1,CALCB,HOXA6,RPL27,FAM20B,PLOD1,SALL1,EIF5A2,ZBTB49,SPAG1,MAST3,PIH1D2
194,OPN1LW,VDAC2,C22orf39,RSPO2,NPM2,CIRBP,DDX5,FARP1,TLE3,GNB1,AHR,CNMD,NLGN2,PSEN1,RRAGB,ATP6AP2,LRRC34,GREB1,BMI1,AMN,IGSF9B,GLE1,MEF2D
195,TBL1X,HDAC2,KDELR3,CYB5D2,CHST1,H2AFY2,BMPR1B,UBE2D3,SUSD5,LHFPL6,DDX5,PROCR,HEATR5A,ANK1,TFDP1,TRPC7,SNIP1,C5H11ORF96,RPRD1B,MAGI2,COL4A2,PIK3CA,PRKD1
196,ATOX1,LMO1,PROK2,XBP1,HTR2C,SNRPE,PXYLP1,SMAGP,UBE3B,TTC39A,BMP2,PKIA,WDR55,GPR39,SLC16A10,MTSS1L,CDHR1,IK,PCBP2,NR2F2,FAM184A,ANKRA2,GTF2H3
197,HMP19,TPM1,ELAVL4,EEF2,TTC9,SERINC1,MRPL20,UQCR10,AAK1,MACC1,OTOGL,CFAP161,KIAA1217,BAZ2B,DHRS7,GATA3,RBP7,RPS6KA1L,YTHDF2,CCDC102A,HSPH1,NDUFAF6,GNG4
198,CYR61,ENOPH1,SLC37A3,KIF26A,SDHC,PCNA,TBCA,MOXD1,HTR2B,HMCN1,PODXL,BICDL1,UBLCP1,SEPT5,SLC49A3,STK31,SLC25A25,ARL5B,HMGN4,SCNN1A,ENO4,TLK1,P4HB
199,TMEM30A,SLC25A3,DDTNFR23,ADAMTS18,ISLR2,BTG1,EIF4A2,TEAD3,RELA,HIPK2,TRA2A,NPC2,CORO2A,STK17B,SSBP3,WDR6,MARCH6,TMC3,TUBGCP3,CNDP1,KIF18B,NRBP2,GRAMD1B
200,TEAD4,MAL2,IQGAP2,EEF1D,SRD5A3,ATRX,PSMC2,ANAPC16,CSF3R,ZBTB1,ALCAM,PHOSPHO1,G6PC2,PLEKHD1,EIF5B,MARCH2,KRIT1,HSPB11,MTMR14,WDR34,SMIM18,ASH2L,FAM234B
201,CPXM1,CTSV,CLTB,GRIK1,EEPD1,PLK3,ROCK1,CCDC90B,SYPL2,TUBB2B,PRR5,ANKIB1,NCAN,NRG1,MAPT,HAPLN4,C3orf38,TKT,SGO1,CHGA,PCBP4,ARL15,C1H21ORF59
202,SOX5,WDR53,RAB4A,IL20RA,TMEM259,SLC35C1,SPSB4,IDH1,SEL1L3,SELENBP1,WDR61,PAFAH2,CNGB3,LRWD1,SLC41A3,F10,AP1AR,HOXA7,KHDRBS1,TRAPPC2L,SART3,TXLNG,NQO2
203,SNX24,ARG2,SRGAP1,FBN1,GLG1,EIF3J,TMEM171,DYL1,ARNT2,ANK3,EXOC1,SYNE1,LONRF1,NLK,ANP32E,QPCTL,TMEM19,IPO9,BRIX1,TPD52L1,PELI2,NDRG4,SLC35F2
