,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges,14_names,14_pvals,14_logfoldchanges,15_names,15_pvals,15_logfoldchanges,16_names,16_pvals,16_logfoldchanges,17_names,17_pvals,17_logfoldchanges,18_names,18_pvals,18_logfoldchanges,19_names,19_pvals,19_logfoldchanges,20_names,20_pvals,20_logfoldchanges,21_names,21_pvals,21_logfoldchanges,22_names,22_pvals,22_logfoldchanges
10,CDH11,2.5514225881449126e-10,1.1256757,HTRA1,8.070466906933309e-39,2.958069,RNH1,6.999790395551974e-21,1.0555816,GJA1,1.1153805318504921e-20,0.89559275,JAM3,1.1982458154615962e-14,1.1803875,APOH,4.307362891860721e-25,4.995345,MPP6,1.0416519852968234e-32,2.4625437,WNT6,2.5491288463093296e-25,7.2830925,DTX1,0.02512582318637141,23.314302,PDZK1IP1,2.821415344751726e-10,3.518453,KIFAP3,5.629476658097126e-10,1.9533663,POSTN,0.0002501275924373833,2.1677527,CD48,0.03862297106805228,4.2056656,RF00413,0.04580414328436598,8.467805,HDGF,4.457719150067749e-28,2.5463176,TMCO6,0.08898731173349199,3.3439608,CITED4,0.10311564715482631,2.0195906,KIF18B,0.0696638424949707,2.3579178,DUT,0.022924507391637726,1.7967827,ALDH4A1,0.1694355098794278,2.654634,SLC25A3,0.18452749236789073,1.2145181,ZDHHC16,0.20225852066491046,4.2066383,HOXD11,0.2016539948430389,2.2543151
11,WNT5A,4.038677576710288e-10,0.6839063,FRZB,9.205055915239768e-36,2.1847541,DCBLD2,3.272582288589459e-19,1.2710261,DLL1,3.5120190752887785e-19,1.2834272,SGPL1,3.758980132199447e-14,1.3697085,GNG10,2.465448074657297e-25,2.1366575,PTN,1.044415154454718e-28,2.322511,TMSB15B,1.160389795910965e-25,1.1572409,FGD4,0.032558043610152444,2.931225,TMSB4X,2.728684943980674e-09,0.75914997,LTF,5.557028690948177e-09,3.3356822,TIMP3,0.0003945917427326562,2.035276,VEZT,0.04695889554230492,1.4890528,TMEM116,0.051072989577396706,3.4350755,TUBB1,7.809431920237633e-20,7.4909115,gga-mir-1571,0.0925593185406434,8.91534,SLC12A7,0.1107228544349107,1.8883485,WNT5A,0.06782550460561956,1.4426228,PGAM1,0.022362275432574286,1.3176421,NRBF2,0.17054174151602894,2.6417232,SNU13,0.19557822655840318,0.897654,ATP6V0E2,0.19432292944095644,2.317283,HOXD4,0.20514281561512673,2.1930125
12,BMP4,1.0288894851342918e-09,1.6745561,B2M,2.060674908290816e-33,1.8060604,LRIG3,3.9521700355507197e-19,1.4515771,HOXD12,6.806264624768607e-18,1.4759821,PALD1,5.124918499231515e-14,0.6939457,GLIPR2,9.471415208887316e-25,2.4887786,ANXA5,1.7064796653148798e-28,2.4631004,TPM1,2.9514936918305237e-25,1.8216923,HYKK,0.03859849399583068,2.7057652,RGN,3.553132761813678e-08,1.9676483,ISL1,9.749719346102775e-09,4.362988,WIF1,0.0005458317853707349,2.7761095,YRDC,0.055368511198639815,0.7807218,ND4L,0.05125996207270573,0.91232634,PRDX3,2.5701275791764977e-23,3.0474913,CGGBP1,0.0923282832175934,3.1148937,SPPL3,0.11094609832139896,1.2296908,SCARB2,0.07549709703108179,2.6567178,FCF1,0.026767115647724462,2.2267451,ODF1,0.18083688545316165,5.406971,TSPAN14,0.20653962794568248,4.032042,VTN,0.19827575396311223,2.2741685,COX5A,0.20407445449086192,1.193531
13,MDK,9.943012086050422e-09,0.40927294,METAP2,2.2903647448835684e-33,1.1201291,MEOX1,1.0041354683133384e-18,1.4494892,CDH2,1.5438306156293023e-17,0.81625086,PRTG,5.128848625637149e-14,0.85394305,HOXC10,9.923020149289666e-23,1.7319548,GPC4,1.651778170051824e-27,2.1139648,PURH,6.083050142517481e-25,1.6484072,BTBD8,0.049017408222531235,1.6949527,NDRG1,5.0452110123762653e-08,2.1765933,RASL11B,9.275888676198218e-09,2.5075538,CA10,0.0007057689543737678,2.5257723,R3HDM2,0.06888237662285236,2.880851,FAM135B,0.053825408961471616,3.463251,PABPC1,1.106555838634437e-23,2.6131725,TECPR2,0.10403085124937463,2.3240116,ANKRD28,0.1148725950581417,2.759537,SYNM,0.08538844832424791,3.3744154,GJA1,0.02550807134212355,1.4925673,TWF2,0.17153751208421747,1.9295264,METRNL,0.1995575015525494,2.2851892,LYSMD2,0.2064163676901414,2.2053483,ANO5,0.23170417475477947,4.1607676
14,COL1A1,2.336279875239276e-08,1.4771411,XPA,4.151061418915321e-33,1.1204538,ARHGDIB,1.643881858478323e-18,1.2068304,MSX1,1.3894586627194438e-16,0.9537023,FST,9.210290483882892e-14,2.5588846,CTGF,3.054267970079456e-22,3.0557234,FSTL1,1.8256797867869038e-27,1.9043503,GPX1,1.4754809124176394e-24,2.0938344,gga-mir-12259,0.06072026298280866,3.608105,AIF1L,1.736321245989281e-07,2.5583317,BAMBI,1.235466505792702e-08,1.6641412,GOLPH3L,0.0012202660561403504,4.43068,PLPP1,0.07536498714720155,0.6789655,CIB2,0.06224144390173798,2.1610363,HMBS,1.139373838997707e-20,4.3666563,ORC1,0.10710436605504495,1.5403137,SEMA6A,0.12092264702948245,1.8213658,PCCB,0.08365920141658173,2.068991,EIF4EBP1,0.025751517172828187,1.4317787,ORMDL3,0.18662583758833373,4.9392314,CHCHD3,0.20361680296216864,1.3863255,SLC9A8,0.21559675320503427,3.7646484,DPP7,0.23349569644318818,3.3173778
15,LDHB,1.5523414666293896e-07,0.29096246,VRTN,7.025718720919308e-32,1.868275,PCP4,8.894267289587787e-17,2.011865,ENHO,2.7951070668748363e-14,1.5890781,POMC,7.860589119872821e-13,2.1047513,HOXD12,4.7879903606126136e-21,1.6551193,RHOU,7.358109166920823e-25,1.942059,IGFBP2,6.923213533363946e-22,1.9640782,ZBTB21,0.06768148054948726,2.919135,EZR,2.1918286094096925e-07,1.9251194,KRT7,1.4433525775407654e-08,2.1489875,STRA6,0.0011836702449973921,1.2996969,FAM208B,0.0869440295613435,1.5554631,PPP2R2B,0.06405674300267637,3.1128936,FECH,1.553471891325683e-18,6.1474323,WDR86,0.12161931179921433,2.2262287,MBD5,0.1347230882400309,3.3641815,POLE2,0.0868924979530497,1.7641077,ARHGDIA,0.027167649700289176,1.8266995,TMEM39A,0.1804001088757196,2.5141866,CDX1,0.21833683524689132,3.6869888,HINFP,0.2225783844945915,3.5867,YAE1,0.23430745612772963,3.3089173
16,FLI1,2.470598588380156e-07,2.3440306,MARCKSL1,1.4790731414664733e-30,1.0220741,METTL6,1.7440231296919202e-16,1.361153,APLP2,3.6065605992935e-14,0.8254125,MT4L,3.5079973423780607e-12,1.3260194,SCD,1.6585120385293284e-20,1.4195397,POSTN,5.7319851831333154e-24,3.723906,BTG1,5.678849414184824e-21,1.7400968,CRABP-I,0.06777573783565995,0.90464866,FOXA1,2.656334922742796e-07,3.2586868,LGALS3,2.8399596228955603e-08,3.8994782,SERPINE2,0.001218872255236803,1.591824,WDR54,0.08977250981130314,6.167756,ZNF827,0.07014893787375907,3.8814714,RBM38,3.3327900977970266e-18,4.1727014,RRNAD1,0.12166700090815433,2.125811,C2CD2L,0.13493379321335666,2.4136963,HOXD12,0.09109508369312873,1.7722038,EIF2S1,0.027866164625154503,1.7961552,ATP11A,0.19036445498442112,4.669203,SPART,0.21856659576913307,3.6691995,LIPA,0.22548427150631373,3.4833288,REV1,0.24028572237162246,3.4473312
17,JAM3,2.503522102421361e-07,0.6542946,CALM2,1.049931909647167e-28,0.8539612,LEF1,2.170761237189806e-16,1.2516286,AKAP12,4.154690648595102e-14,0.90163505,NPBWR1,1.4338201170935568e-11,3.2125363,HES4,1.3693174015444705e-19,1.4395963,PPFIBP1,7.252789030629828e-23,1.5339212,CCNI,9.461599250147128e-21,1.8063439,PLTP,0.07283920596051952,1.6979071,PRTG,2.642728600342136e-07,0.93548834,ATP5MC3,6.116138621401257e-08,0.8154446,LGMN,0.0013067788042853384,1.4814016,CSNK2A2,0.08955650638839935,1.2589997,FGF18,0.07737616674760765,0.89726853,ABCB10,1.249098394717241e-16,5.707606,VTA1,0.12352488229067823,1.0695152,KAT2A,0.1454788275718507,1.1422963,MFAP2,0.09388846137785894,1.5307446,NUTF2,0.0315830006627238,1.6596969,WIPF1,0.19301587848133625,4.5266423,RASD1,0.21986397357406198,3.7312355,CHPF2,0.22557196771235563,3.485218,RHOGL,0.23258093285665038,1.9757715
18,HOXA11,3.430093481609602e-07,0.68353367,MPZL3,1.8143647722546915e-28,1.830299,DHX37,4.321274545188128e-15,0.9939729,WNT8A,8.028216019941779e-14,1.6461718,CFC1,8.488519925721218e-11,1.3745236,NCAM1,3.915586131509991e-19,1.6681045,RNH1,1.9733209340954482e-22,1.5828596,H3F3B,6.890017907128156e-20,1.0476617,KCNK3,0.09656770614786714,5.1800337,RBP4A,7.644899891821639e-07,4.3376675,EEF1A1,1.4598556450800375e-07,0.4957563,SHH,0.0014167406770149752,4.747576,FNDC1,0.09060042548636087,3.1703322,CLN6,0.08109199148208279,1.4704022,CCND3,4.5521935319816926e-17,4.6369953,GPR157,0.12467521375007037,2.5728223,RGS7BP,0.15658473243635837,2.9450674,HOXD11,0.09915588556094572,2.2645228,WDR48,0.03524346842064258,2.8513386,C17H9orf16,0.18586932017522964,1.85246,PGGT1B,0.22675960936124398,3.4525037,PEX6,0.22741101924403062,3.4443035,RF00012,0.2442619303936175,3.1531126
19,SNAI1,4.7117515104840513e-07,1.5653085,GPX4,1.4903789093142382e-27,0.973804,COLEC12,7.657885153643297e-15,1.4187579,METTL6,2.773417436051709e-13,1.3101838,TUBA1C,9.720145055579543e-11,0.6335295,SFRP2,4.00662500482314e-19,1.7746878,LFNG,6.195945449744369e-22,2.091739,DCN,6.300681036324887e-19,3.8912873,IFNG,0.10366271860795505,4.595012,GATA6,8.973704427257114e-07,4.247009,HOXA11,1.657199878352983e-07,1.400073,APLP2,0.001398186922581369,0.71396375,IMPA1,0.09005411908084639,0.82413316,LANCL1,0.08428560031134244,1.0569246,HBBA,9.04796579319175e-16,11.784948,SLC16A7,0.12698877300730652,3.581989,RCAN1,0.15747980018090108,1.8229227,C4H4ORF46,0.10556984798059124,4.373899,BZW2,0.03236941373923349,1.6039674,POLR2M,0.19709498613887683,2.3363185,NOC4L,0.22185336978811962,2.1785173,RARRES1,0.22881025169494143,3.4240012,PUS3,0.24487349176341264,3.107683
20,PRRX2,5.01518644494041e-07,3.0489051,NT5DC2,2.6154129651697312e-27,1.0732744,APLP2,1.2662523964355187e-14,0.79232556,FGF8,2.594326986717923e-12,2.559988,MSGN1,1.3665285670124398e-10,1.0318526,TUBB4B,8.403490408248913e-19,0.91269606,CYP1B1,2.6560221273593384e-21,3.5643735,DLX5,6.068350340191811e-19,2.5726554,CHGA,0.10786802068971432,1.7469265,LIN7C,9.869465371238571e-07,1.5692041,KRT18,2.5153599373603797e-07,1.8824236,VTN,0.0014604526970361344,1.3903171,DRP2,0.09201323275388017,5.7526593,TOR3A,0.09033255828416072,6.047314,AK2,6.1285014466546535e-18,2.9400525,SMYD2,0.1367464854225998,1.131356,NBEA,0.15907059313169902,2.9036806,USP3,0.10001134700987202,1.6518087,HMGN1,0.033285257488656565,1.6403186,MED18,0.19896804189499118,2.335061,DTX3L,0.2281425444739077,3.455286,SYNGR2,0.22112157640048924,2.0785656,PRDM11,0.23869083157501203,1.9244444
21,HOXC10,5.529297600645117e-07,0.71722466,EDNRB,2.907594967499431e-26,2.9982398,STMN1,2.722384499618923e-14,0.4940262,EPHA1,3.36041024909407e-12,1.8394381,EEF1D,1.7189436208468097e-10,0.40604755,HOXA4,2.099408043744246e-18,1.6341116,FABP5,4.544995244903004e-21,2.4626758,BASP1,4.738967037629192e-19,1.5643585,PPP1R9A,0.10937677180824067,1.3228141,SCIN,1.1496589967695818e-06,4.0086827,FOXA1,4.94439655637346e-07,3.8140397,Wpkci-7,0.0016446061773718191,0.7775526,FAIM,0.09408606609082373,1.8332669,GGPS1,0.08913875097089259,1.191975,TAL1,5.302367732929689e-15,7.117133,ITM2C,0.150979553000616,2.2716148,ATP6V0A2,0.1592752577501879,1.5881555,CETN3,0.1012090619560118,1.910555,POU2F1,0.035628971099970014,2.2945073,KIFAP3,0.2004618054835493,1.8067601,MRPL20,0.22019904144520755,1.6203513,ST14,0.2209184304098733,2.096241,FUCA1,0.24882252659739032,3.0342672
22,LIMD2,8.44445482345904e-07,0.81537133,DNMT3A,3.9875088539730833e-26,0.99269235,PTN,2.0058229759411563e-13,1.2378905,APBB1IP,6.634323605093114e-12,3.1531298,CCDC88C,2.3355039456153907e-09,1.4216518,RASL11B,2.5565379768280188e-18,2.4104667,LRIG3,8.85372181184828e-20,2.0447235,MCAM,8.98751244642717e-19,2.6355987,SLC25A12,0.11234383979660757,1.1701988,TPM4,1.1693821577227926e-06,1.0831718,HOXD11,6.516356487505826e-07,1.8190615,TBC1D8,0.003087438768988482,2.1710842,ANKRD28,0.099427455883466,2.096588,PHF11,0.09168205627168108,1.6582886,GPX1,1.4188970197803074e-15,2.949062,MAFG,0.15339808552746767,2.9782603,GNAZ,0.16431378132426097,2.8162925,CPLANE2,0.10475238754206072,1.3087472,HNRNPR,0.036097362449163166,1.9033197,BRI3BP,0.21332226440926258,4.1128955,DSN1,0.2221936812195915,2.0704925,CMC4,0.2323019276370323,3.593285,APEH,0.25279655673177787,2.9776444
23,MFAP2,9.017779265436657e-07,0.7304205,CACNG3,3.0727531446573706e-25,1.6933875,ANXA5,4.4299557941122966e-13,1.2298895,ARHGEF9,6.587517747729892e-12,1.9217988,GDF3,5.205509292473741e-09,1.5686815,HOXB5,2.5080063268176187e-18,1.5266911,GPC1,3.8627633020686473e-19,1.7467083,ACTG1,1.0422333850660337e-18,0.86951566,MRAS,0.11477928031844391,0.8106456,SLC5A1,1.6135264281909814e-06,3.6844745,Meis2a.2,1.4835462305829624e-06,1.5221119,SEMA3D,0.003178467010848228,3.0680323,RIC3,0.11064129358559623,2.7715738,TMEM120B,0.09192339983785407,1.2554955,MGST3,1.1609716920930783e-14,3.19454,GABPB2,0.1556071180655499,1.4235921,EPCAM,0.16505736942847862,0.9153826,VPS72,0.10666572136677657,1.4528415,NDUFB1,0.037911251197267834,1.7337947,MAPRE3,0.21289429871900611,3.7646747,CEP95,0.2334601481826538,3.5715444,CFC1,0.2277650917889867,2.1604197,ROGDI,0.2608182962198733,2.87082
