,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges
26,HOXB7,4.0182662033695984e-08,1.112,SGPL1,5.3967171186520844e-05,0.7958955,SIX1,1.588716265673264e-17,3.971174,ID1,7.17978324252437e-15,1.1720067,MICALL1,0.0989847182930536,2.011839,SH2D4A,0.1683124533195758,6.1920853,CRCP,0.08851434015562729,1.4985175,ESF1,0.20661118706587484,1.7788271,PPRC1,0.17816424190573804,2.5673,CIB2,0.21610786353887185,3.679678,MYL6,0.18682955529928352,1.3442867
27,SP5,4.040595406567196e-08,0.84280527,WIF1,5.898399669161588e-05,1.8276988,CDH20,2.2604720206816807e-17,3.5033965,WNT4,1.774380084833589e-14,4.804631,SCAP,0.10230217232579766,1.5597892,ALDH1A2,0.16877026283644436,1.3789647,CTGF,0.09093328601516805,1.7133439,NBEAL1,0.2123442151795877,3.7403479,PRR5L,0.18512869294557352,4.9516234,UBE3C,0.2164682478668248,3.6991253,STIP1,0.19914464222994596,4.2991667
28,CDX4,4.917289330623348e-08,1.0925847,METTL6,7.7513270621712e-05,0.6573362,NR2F2,1.931318009871054e-17,2.383784,GLIPR2,1.7046264952286588e-14,1.6659423,MTURN,0.10402444317501308,1.5472084,EEF1A2,0.17375563545869618,2.6717284,GABARAPL2,0.09085799121478638,1.492122,ZC3H15,0.20661662465858907,1.0496076,SGO1,0.18120350148206743,2.530304,LAMTOR1,0.21107184815621288,2.1970704,KIF18B,0.1928139214077599,2.3881404
29,FGF8,5.9251249411827924e-08,1.7417634,PRCP,9.391969980842527e-05,1.21449,PCP4,2.908779070806918e-17,2.1190963,HMGN4,3.101894708112907e-14,0.5663918,PAK4,0.10592911943408222,1.9140459,FLT4,0.17591324946014597,2.9341395,METTL16,0.0920593167578796,2.3842165,STXBP6,0.21978580644970425,3.5815275,RHOT1,0.18068140113688974,1.950854,AGRN,0.21137018657795653,1.6739542,RAB15,0.20572012177476898,4.5139675
30,MID1IP1,8.158038262313935e-08,1.2118064,PDZRN3,0.0002117600475315456,1.3952558,TUBAL3,5.3912630164590865e-17,1.6425905,NCAM1,3.4507736341612744e-14,1.4233308,RSPRY1,0.10637122601941956,1.4062784,SMPD3,0.18142931637180132,4.8696504,PIGQ,0.09200690964714796,2.423896,DDX46,0.21383650735276963,1.0999576,CCDC126,0.18457969385315087,2.4280906,BLOC1S5,0.21965056092180715,1.8301523,DAZAP2,0.19636091795950789,1.7308989
31,TESC,8.805425069265989e-08,1.4876673,LIMD2,0.00023444543529658617,0.7365859,LEF1,7.904193408212381e-17,1.39003,FABP6,6.339193633807336e-14,3.113785,THSD4,0.11526355413239789,3.974808,SMYD2,0.1832138277904962,1.3745414,NSF,0.09320422163485163,1.7818878,WDR4,0.21634545234155572,1.7110605,PCSK5,0.18201076109325268,1.8879284,SYNJ2BP,0.22756992899428152,3.4454997,OSTF1,0.1988718922381437,2.4092383
32,C9orf3,1.7344641823396576e-07,2.0081174,BTG2,0.00026519084580591397,0.90599513,TMEM100,9.737655061138373e-17,1.7231929,NMRK2,2.3973280964589376e-13,2.0147443,TIMM50,0.11731533968272928,0.83275896,CLN5,0.18619495717148704,5.2469735,DYNC1I1,0.09401462506933765,2.0601037,SOX18,0.22360219716994095,3.5136793,UBE2J2,0.18289554791086107,1.8805863,STX17,0.23148109958507473,3.5513783,PCMT1,0.19970875753863987,1.7689108
33,ATP2B1,2.787902238074942e-07,0.70184267,WLS,0.00034422654711003083,0.40880144,GADD45B,1.8983118251042031e-16,1.9964871,HSP90AA1,2.0729524995281763e-13,0.6990389,GGA3,0.11900121541437857,1.8290719,TSEN54,0.18590377046537296,1.9493083,GRAMD4,0.09744179392424011,2.0543919,RARRES1,0.22555833371539735,3.4439058,MSANTD2,0.18555324088975045,2.4954562,NUF2,0.22334588170311723,1.6511034,NIPAL3,0.20901366973172622,3.928952
34,DLX5,3.070421098912252e-07,1.835207,SLC2A1,0.0003552428345202299,0.64149195,CITED4,2.2755474281495226e-15,2.7381558,FAM181A,3.5046249438818744e-13,4.7945485,SYT11,0.1191030779754347,0.8304674,PTGS1,0.18675865315708387,2.551208,NUCKS1,0.09618623475719328,0.55881095,SCAF11,0.2235689059259407,1.2154872,MCRIP2,0.18597973906914675,2.4618754,ALKBH2,0.23141026249952723,3.309084,TARSL2,0.2039495244083895,2.2601316
35,ANXA2,3.301505221443358e-07,1.6726236,JARID2,0.00042144960636374845,0.5266237,SUSD1,3.1891139884703174e-15,2.362513,ALDOC,3.406841882975464e-13,0.6496945,SLC39A6,0.12377633041191374,1.7750784,KIAA1522,0.188937211390519,1.4150895,DNAJC18,0.1001390054501384,1.9544576,COA7,0.2358054385818758,2.322218,FAM49B,0.1881918027784853,1.8686726,BMP2,0.233035837853665,3.3167853,CSTF3,0.20272462904750518,1.7891281
