index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden,pr_NearestNeighbors,pr_SVM-Linear,pr_SVM-RBF,pr_DecisionTree,pr_RandomForest,pr_NeuralNet,pr_NaiveBayes,pr_LDA
0-0,0,bcCBVX,35s1,11885.0,None,d4,d4,2736,11885.0,0.009945095,-0.35376692,S,6,aPSM,IM,SOM,SOM,SOM,aPSM,aPSM,aPSM
1-0,0,bcHCJZ,35s1,2722.0,None,d4,d4,1178,2722.0,0.13858433,0.11780554,S,3,ENDTH,IM,LPM1,LPM2,LPM1,pNTB,LPM1,LPM1
2-0,0,bcERMM,35s1,2208.0,None,d4,d4,1068,2208.0,-0.103479266,0.23628831,G2M,0,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
3-0,0,bcCIOC,35s1,1844.0,None,d4,d4,979,1844.0,0.056567676,-0.17964186,S,4,IM,LPM1,LPM1,LPM1,LPM1,IM,LPM1,LPM1
4-0,0,bcGUZG,35s1,1296.0,None,d4,d4,833,1296.0,-0.13707294,0.12977289,G2M,9,SOM,IM,SOM,strNTB,LPM1,SOM,strLPM,SOM
5-0,0,bcFMBI,35s1,1028.0,None,d4,d4,786,1028.0,-0.36662558,-0.2622705,G1,9,ENDTH,aNTB1,pNTB,SOM,LPM2,NOTO,LPM2,NMP
6-0,0,bcGWXG,35s1,1101.0,None,d4,d4,748,1101.0,-0.0234574,-0.20552485,G1,0,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
7-0,0,bcCPEX,35s1,968.0,None,d4,d4,715,968.0,-0.132041,0.63204557,G2M,2,IM,IM,LPM1,SOM,LPM1,SOM,LPM1,LPM1
8-0,0,bcGWUT,35s1,780.0,None,d4,d4,654,780.0,-0.12542802,0.16651574,G2M,15,EPID,IM,LPM1,LPM2,LPM1,SOM,strLPM,strLPM
9-0,0,bcGZHE,35s1,758.0,None,d4,d4,658,758.0,0.109759115,0.08592008,S,5,BLD,pNTB,pNTB,SOM,LPM2,pNTB,IM,pNTB
23-0,0,bcAFIS,35s1,11470.0,None,d4,d4,2727,11470.0,-0.34408364,0.42752886,G2M,0,ALNT,IM,LPM1,SOM,LPM2,ALNT,LPM1,LPM1
24-0,0,bcGBGG,35s1,2889.0,None,d4,d4,1327,2889.0,0.11587966,-0.14594874,S,5,ENDO,aNTB1,LPM1,strNTB,LPM2,SPP,LPM1,aNTB1
25-0,0,bcATVF,35s1,2030.0,None,d4,d4,1037,2030.0,0.0834291,-0.06601669,S,6,aPSM,SOM,SOM,SOM,SOM,LPM1,LPM1,aPSM
26-0,0,bcDJEW,35s1,1694.0,None,d4,d4,952,1694.0,-0.095480226,-0.076364964,G1,3,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
27-0,0,bcBOBI,35s1,1434.0,None,d4,d4,886,1434.0,0.266662,-0.22608829,S,3,pNTB,pNTB,pNTB,strNTB,pNTB,NMP,pNTB,aNTB1
28-0,0,bcBFCG,35s1,1307.0,None,d4,d4,825,1307.0,0.0713349,-0.010672122,S,3,EPID,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
29-0,0,bcHWZP,35s1,988.0,None,d4,d4,715,988.0,0.05860936,0.040043384,S,0,LPM2,LPM1,LPM1,LPM2,LPM1,LPM1,LPM1,LPM1
30-0,0,bcFTGW,35s1,907.0,None,d4,d4,711,907.0,0.15426543,0.13716765,S,2,pNTB,LPM1,LPM1,LPM2,LPM1,LPM1,LPM1,LPM1
31-0,0,bcEQTR,35s1,874.0,None,d4,d4,673,874.0,0.10537138,-0.30235314,S,0,EPID,IM,IM,LPM1,IM,IM,IM,IM
32-0,0,bcDHDT,35s1,727.0,None,d4,d4,656,727.0,0.04847989,0.10398209,G2M,2,NMP,pNTB,pNTB,LPM1,pNTB,pNTB,LPM1,NMP
46-0,0,bcBHMR,35s1,10646.0,None,d4,d4,2686,10646.0,-0.13287091,0.05849817,G2M,6,SOM,LPM1,LPM1,SOM,SOM,SOM,LPM1,SOM
47-0,0,bcFWMR,35s1,1901.0,None,d4,d4,839,1901.0,-0.10811573,-0.24402265,G1,10,SPP,LPM1,LPM2,strLPM,LPM2,NOTO,LPM2,LPM1
48-0,0,bcDSMK,35s1,2264.0,None,d4,d4,1083,2264.0,0.11072247,-0.16953743,S,2,pPSM,LPM1,LPM1,SOM,LPM1,SOM,LPM1,aPSM
49-0,0,bcAIMW,35s1,1649.0,None,d4,d4,902,1649.0,-0.08375106,0.0408234,G2M,2,strNTB,LPM1,LPM1,SOM,LPM1,SOM,LPM1,LPM1
50-0,0,bcEWYM,35s1,1260.0,None,d4,d4,905,1260.0,0.5114394,-0.05454412,S,5,strNTB,LPM1,LPM1,SOM,LPM1,strLPM,LPM1,LPM1
51-0,0,bcDSHY,35s1,1394.0,None,d4,d4,780,1394.0,0.13922943,-0.24882777,S,6,aPSM,aPSM,aPSM,SOM,aPSM,aPSM,aPSM,aPSM
52-0,0,bcDLAY,35s1,1134.0,None,d4,d4,758,1134.0,-0.09049872,-0.30980366,G1,2,pNTB,IM,pNTB,pNTB,aNTB1,pNTB,LPM1,LPM1
53-0,0,bcGKHX,35s1,885.0,None,d4,d4,719,885.0,0.073093005,-0.1555003,S,2,NOTO,IM,LPM1,WD,LPM1,IM,LPM1,LPM1
54-0,0,bcBDBK,35s1,874.0,None,d4,d4,681,874.0,0.11260977,-0.030176412,S,7,EPID,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
69-0,0,bcFGVY,35s1,9456.0,None,d4,d4,2611,9456.0,-0.08952412,0.15408072,G2M,2,aPSM,LPM1,LPM1,SOM,LPM1,aPSM,LPM1,aPSM
70-0,0,bcATBM,35s1,2189.0,None,d4,d4,1079,2189.0,-0.05618774,-0.28408566,G1,7,EPID,IM,LPM1,WD,LPM1,NOTO,LPM1,LPM1
71-0,0,bcEVIJ,35s1,2396.0,None,d4,d4,1127,2396.0,-0.09555682,0.58723086,G2M,0,LPM2,LPM1,LPM2,LPM2,LPM2,LPM2,LPM2,LPM1
72-0,0,bcGYBA,35s1,1555.0,None,d4,d4,914,1555.0,0.26281792,-0.3230673,S,2,WD,LPM1,LPM1,SOM,LPM1,WD,LPM1,LPM1
73-0,0,bcCUNI,35s1,1451.0,None,d4,d4,929,1451.0,-0.05294974,0.6218383,G2M,8,NOTO,IM,LPM1,pNTB,LPM1,LPM1,LPM1,LPM1
74-0,0,bcAACQ,35s1,1275.0,None,d4,d4,809,1275.0,-0.2488956,0.33734402,G2M,7,EPID,EPID,aPSM,pNTB,EPID,EPID,IM,aPSM
75-0,0,bcCSFT,35s1,1100.0,None,d4,d4,805,1100.0,-0.37547013,-0.30170316,G1,7,EPID,aPSM,LPM1,EPID,LPM1,LPM1,LPM1,LPM1
76-0,0,bcASKO,35s1,1076.0,None,d4,d4,737,1076.0,0.07162346,-0.064332515,S,16,ALNT,pNTB,LPM1,LPM1,LPM1,pNTB,LPM1,LPM1
77-0,0,bcCKGL,35s1,798.0,None,d4,d4,665,798.0,0.029711258,-0.122567154,S,0,aPSM,SOM,SOM,SOM,SOM,aPSM,LPM1,aPSM
92-0,0,bcHWNT,35s1,8772.0,None,d4,d4,2368,8772.0,-0.45134184,-0.45407805,G1,6,SOM,SOM,SOM,SOM,SOM,aPSM,IM,SOM
93-0,0,bcGOJS,35s1,2603.0,None,d4,d4,1230,2603.0,-0.20420036,-0.2942525,G1,3,pPSM,aPSM,LPM2,SOM,pPSM,pPSM,LPM2,pPSM
94-0,0,bcGUQT,35s1,2004.0,None,d4,d4,976,2004.0,0.39731643,0.051523264,S,3,NOTO,aPSM,aPSM,SOM,SOM,NOTO,aPSM,aPSM
95-0,0,bcEVFC,35s1,1667.0,None,d4,d4,904,1667.0,0.0699017,-0.061494373,S,0,aNTB1,aNTB1,aNTB1,strNTB,LPM2,LPM2,LPM2,aNTB1
96-0,0,bcDQXV,35s1,1560.0,None,d4,d4,907,1560.0,-0.008773316,0.32484552,G2M,0,NC,LPM1,SOM,WD,LPM1,SOM,LPM2,SOM
97-0,0,bcBOTL,35s1,1259.0,None,d4,d4,802,1259.0,0.13573474,-0.13958476,S,12,pNTB,pNTB,pNTB,pNTB,pNTB,pNTB,LPM1,pNTB
98-0,0,bcCZPT,35s1,1132.0,None,d4,d4,764,1132.0,0.12270865,-0.19947208,S,6,LPM2,LPM2,LPM2,SOM,LPM2,LPM2,LPM2,LPM2
99-0,0,bcBVFU,35s1,946.0,None,d4,d4,692,946.0,-0.0513205,-0.027075943,G1,3,NMP,IM,LPM1,WD,LPM1,LPM1,LPM1,LPM1
100-0,0,bcFPNM,35s1,910.0,None,d4,d4,674,910.0,0.011966165,-0.17091829,S,0,pNTB,LPM1,LPM2,WD,LPM2,pNTB,LPM2,LPM1
115-0,0,bcAGCW,35s1,8233.0,None,d4,d4,2507,8233.0,0.08915582,-0.12359717,S,5,NMP,LPM1,LPM1,SOM,LPM1,aNTB1,LPM1,NMP
116-0,0,bcAYMJ,35s1,2500.0,None,d4,d4,1208,2500.0,0.28396627,-0.24153963,S,3,pPSM,LPM1,LPM1,SOM,LPM2,SOM,LPM1,LPM1
117-0,0,bcDCNE,35s1,1987.0,None,d4,d4,978,1987.0,-0.39940122,0.24764994,G2M,3,aNTB1,pNTB,pNTB,SOM,LPM2,pNTB,LPM1,pNTB
118-0,0,bcCKNO,35s1,1680.0,None,d4,d4,968,1680.0,-0.11305446,0.20218037,G2M,5,WD,pNTB,pNTB,WD,pNTB,pNTB,LPM1,pNTB
119-0,0,bcFAQR,35s1,1603.0,None,d4,d4,912,1603.0,-0.16194443,-0.17092669,G1,11,SOM,SOM,SOM,SOM,SOM,SOM,SOM,SOM
120-0,0,bcERFL,35s1,1238.0,None,d4,d4,811,1238.0,-0.045218814,0.050223567,G2M,5,IM,IM,IM,SOM,IM,IM,IM,IM
121-0,0,bcCGHK,35s1,1033.0,None,d4,d4,734,1033.0,-0.27022856,0.26331732,G2M,3,aNTB2,LPM1,LPM1,SOM,aNTB1,aNTB2,IM,strLPM
122-0,0,bcFIGX,35s1,1005.0,None,d4,d4,771,1005.0,0.14519362,0.057754934,S,1,aNTB1,aNTB1,aNTB1,pNTB,aNTB1,aNTB1,LPM1,aNTB1
123-0,0,bcIGOJ,35s1,730.0,None,d4,d4,666,730.0,-0.0145168565,0.066586256,G2M,3,strNTB,IM,LPM1,pNTB,LPM1,pNTB,LPM1,LPM1
138-0,0,bcFSDJ,35s1,9356.0,None,d4,d4,2570,9356.0,0.31433243,-0.27292493,S,0,LPM2,LPM1,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
139-0,0,bcHAPN,35s1,1741.0,None,d4,d4,966,1741.0,-0.22205174,0.4912067,G2M,12,IM,IM,IM,IM,IM,IM,IM,IM
140-0,0,bcBJTD,35s1,1992.0,None,d4,d4,1112,1992.0,0.35289407,-0.036966737,S,10,NOTO,IM,IM,pNTB,LPM2,LPM2,LPM2,NMP
141-0,0,bcIBGK,35s1,1781.0,None,d4,d4,991,1781.0,0.16275597,-0.037720174,S,0,LPM2,LPM1,LPM2,SOM,LPM2,LPM1,LPM2,LPM1
142-0,0,bcGJYE,35s1,1511.0,None,d4,d4,889,1511.0,0.0006494075,0.10680875,G2M,3,strLPM,LPM1,LPM1,LPM1,LPM1,pNTB,LPM1,LPM1
143-0,0,bcFWOW,35s1,1264.0,None,d4,d4,784,1264.0,0.042872768,-0.09844751,S,5,aNTB1,aNTB1,aNTB1,pNTB,aNTB1,aNTB1,LPM1,aNTB1
144-0,0,bcEFMW,35s1,1081.0,None,d4,d4,704,1081.0,-0.12080154,-0.17258851,G1,0,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
145-0,0,bcEOQN,35s1,1017.0,None,d4,d4,709,1017.0,-0.028997023,-0.06204235,G1,3,SPP,SPP,SPP,SPP,SPP,SPP,SPP,SPP
146-0,0,bcEOFJ,35s1,942.0,None,d4,d4,685,942.0,-0.14606528,-0.28746536,G1,3,ALNT,pNTB,pNTB,pNTB,LPM1,pNTB,LPM1,pNTB
161-0,0,bcAEFZ,35s1,6901.0,None,d4,d4,2186,6901.0,-0.12148073,-0.1991087,G1,12,NOTO,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
162-0,0,bcEGBT,35s1,2680.0,None,d4,d4,1223,2680.0,0.17049383,-0.10298738,S,7,EPID,LPM1,IM,pNTB,BLD,pPSM,IM,IM
163-0,0,bcEYMN,35s1,1895.0,None,d4,d4,945,1895.0,0.026106998,-0.19940671,S,2,NOTO,pNTB,pNTB,strNTB,pNTB,NOTO,LPM2,NMP
164-0,0,bcHIIZ,35s1,1686.0,None,d4,d4,934,1686.0,0.14801435,-0.012809276,S,3,IM,IM,LPM1,WD,IM,IM,strLPM,IM
165-0,0,bcAFOR,35s1,1454.0,None,d4,d4,907,1454.0,-0.046264406,0.188559,G2M,0,strNTB,LPM1,LPM1,strNTB,SOM,LPM1,LPM1,strLPM
166-0,0,bcFEFV,35s1,1367.0,None,d4,d4,858,1367.0,-0.087858945,0.06447313,G2M,5,pPSM,IM,IM,SOM,aNTB1,IM,IM,pPSM
167-0,0,bcAIAX,35s1,1066.0,None,d4,d4,749,1066.0,0.14165358,-0.21155922,S,10,LPM2,IM,IM,LPM2,LPM2,aNTB1,LPM2,LPM2
168-0,0,bcBGQB,35s1,922.0,None,d4,d4,729,922.0,-0.30495274,-0.059026852,G1,0,LPM2,LPM1,LPM1,LPM1,LPM1,LPM1,LPM2,LPM1
169-0,0,bcEBZO,35s1,774.0,None,d4,d4,681,774.0,-0.026846506,0.06080444,G2M,0,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
184-0,0,bcHMQP,35s1,9345.0,None,d4,d4,2722,9345.0,-0.0098632,-0.09876792,G1,7,EPID,LPM1,LPM1,pNTB,LPM2,pPSM,LPM1,strLPM
185-0,0,bcDMVF,35s1,2737.0,None,d4,d4,1205,2737.0,-0.0022932962,-0.2119065,G1,3,aPSM,LPM1,LPM1,SOM,IM,aPSM,LPM1,LPM1
186-0,0,bcFTJM,35s1,1898.0,None,d4,d4,948,1898.0,-0.17595659,0.023843206,G2M,3,pPSM,LPM1,LPM1,pNTB,LPM1,pNTB,LPM1,LPM1
187-0,0,bcDVJB,35s1,1686.0,None,d4,d4,931,1686.0,0.30742246,-0.011248082,S,5,LPM1,LPM1,LPM1,SOM,LPM1,SOM,LPM1,LPM1
188-0,0,bcDFOZ,35s1,1309.0,None,d4,d4,836,1309.0,-0.12866709,-0.12148818,G1,3,pNTB,LPM1,pNTB,pNTB,aNTB1,strNTB,strNTB,NMP
189-0,0,bcCNDT,35s1,1198.0,None,d4,d4,813,1198.0,0.00525634,-0.18450263,S,0,aNTB1,LPM1,pNTB,WD,LPM1,aNTB1,LPM1,pNTB
190-0,0,bcAWEQ,35s1,1124.0,None,d4,d4,775,1124.0,-0.27092743,0.103056766,G2M,6,IM,IM,SOM,SOM,IM,SOM,SOM,IM
191-0,0,bcADXX,35s1,1028.0,None,d4,d4,763,1028.0,0.028163284,0.12156794,G2M,8,NMP,LPM1,LPM1,WD,LPM1,NMP,LPM1,NMP
192-0,0,bcFTYN,35s1,870.0,None,d4,d4,675,870.0,-0.075630486,-0.35775784,G1,8,aPSM,SOM,SOM,SOM,LPM2,LPM2,LPM2,aPSM
207-0,0,bcBSYM,35s1,8670.0,None,d4,d4,2518,8670.0,-0.015901413,0.12647194,G2M,0,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
208-0,0,bcIGOI,35s1,3105.0,None,d4,d4,1399,3105.0,-0.08191297,0.78126794,G2M,5,aNTB2,IM,LPM1,SOM,LPM2,strNTB,LPM1,LPM1
209-0,0,bcFXCD,35s1,2210.0,None,d4,d4,1125,2210.0,0.12585661,0.43361953,G2M,1,strNTB,LPM1,LPM1,WD,LPM1,LPM1,LPM1,strLPM
210-0,0,bcCEON,35s1,1597.0,None,d4,d4,914,1597.0,-0.08611826,-0.20371807,G1,2,BLD,LPM1,LPM1,SOM,LPM1,LPM1,LPM1,LPM1
211-0,0,bcGCUU,35s1,1532.0,None,d4,d4,811,1532.0,-0.033482455,-0.15027624,G1,10,EPID,LPM1,LPM1,strNTB,LPM1,pPSM,LPM1,LPM1
212-0,0,bcGYCP,35s1,1149.0,None,d4,d4,799,1149.0,-0.1434758,0.036730226,G2M,5,NC,aNTB1,aNTB1,SOM,LPM1,NC,strLPM,aNTB1
213-0,0,bcGBZN,35s1,1206.0,None,d4,d4,762,1206.0,-0.26358622,-0.17208363,G1,5,NOTO,LPM1,pNTB,pNTB,LPM1,NOTO,IM,NMP
214-0,0,bcCZTJ,35s1,867.0,None,d4,d4,682,867.0,-0.08499762,0.31809264,G2M,2,BLD,LPM1,LPM1,WD,LPM1,SOM,LPM1,LPM1
215-0,0,bcDBLV,35s1,836.0,None,d4,d4,683,836.0,0.05319287,-0.0644072,S,5,aNTB1,aNTB1,aNTB1,strNTB,LPM2,pPSM,LPM1,aNTB1
216-0,0,bcEBFZ,35s1,756.0,None,d4,d4,664,756.0,-0.13054365,-0.052778672,G1,2,SOM,LPM1,LPM1,strNTB,LPM1,SOM,LPM1,aPSM
230-0,0,bcBJZB,35s1,8052.0,None,d4,d4,2564,8052.0,0.012295943,0.45880142,G2M,5,aNTB1,aNTB1,pNTB,SOM,aNTB1,aNTB1,LPM1,aNTB1
231-0,0,bcGWDJ,35s1,2701.0,None,d4,d4,1267,2701.0,0.023919143,-0.14983396,S,2,LPM1,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
232-0,0,bcCECZ,35s1,2060.0,None,d4,d4,993,2060.0,0.2546867,-0.04726605,S,7,EPID,pNTB,pNTB,pNTB,LPM1,pNTB,LPM1,pNTB
233-0,0,bcHOZZ,35s1,1659.0,None,d4,d4,930,1659.0,-0.06832866,-0.21271732,G1,10,IM,IM,LPM1,SOM,LPM1,IM,LPM1,LPM1
234-0,0,bcFUIR,35s1,1323.0,None,d4,d4,716,1323.0,-0.38425413,-0.15727152,G1,7,ENDO,LPM2,LPM2,pNTB,LPM2,NOTO,LPM2,NMP
235-0,0,bcFMWY,35s1,1213.0,None,d4,d4,773,1213.0,-0.13240308,-0.09092398,G1,5,ENDTH,LPM1,LPM1,SOM,aNTB1,aPSM,LPM1,LPM1
236-0,0,bcEOYG,35s1,1177.0,None,d4,d4,785,1177.0,-0.007371834,0.056484316,G2M,0,LPM1,IM,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
237-0,0,bcGQPF,35s1,903.0,None,d4,d4,711,903.0,0.106072456,0.30228835,G2M,5,aNTB1,aNTB1,aNTB1,pNTB,aNTB1,aNTB1,aNTB1,aNTB1
238-0,0,bcHVMG,35s1,867.0,None,d4,d4,645,867.0,-0.057327945,-0.27827364,G1,10,IM,IM,LPM1,SOM,SOM,IM,strLPM,strLPM
239-0,0,bcENZT,35s1,702.0,None,d4,d4,651,702.0,0.111508876,0.10490356,S,7,EPID,pNTB,EPID,pNTB,EPID,EPID,EPID,aPSM
253-0,0,bcEYRJ,35s1,7209.0,None,d4,d4,2121,7209.0,-0.39198413,-0.4969357,G1,7,EPID,IM,LPM1,WD,BLD,pPSM,LPM2,aPSM
254-0,0,bcDBPX,35s1,2618.0,None,d4,d4,1196,2618.0,-0.22561674,0.5122497,G2M,2,NMP,pPSM,LPM1,SOM,BLD,pPSM,LPM1,NMP
255-0,0,bcATVM,35s1,1971.0,None,d4,d4,1023,1971.0,-0.13947055,0.1995601,G2M,5,ALNT,IM,IM,pNTB,LPM2,ALNT,LPM2,LPM2
256-0,0,bcDVBU,35s1,1556.0,None,d4,d4,882,1556.0,-0.15180185,0.004343815,G2M,3,NOTO,LPM1,LPM1,SOM,SOM,LPM1,LPM1,aPSM
257-0,0,bcEMDJ,35s1,1532.0,None,d4,d4,864,1532.0,-0.13213745,0.07901913,G2M,2,aPSM,LPM1,aPSM,SOM,aPSM,aPSM,aPSM,aPSM
258-0,0,bcBOZJ,35s1,1335.0,None,d4,d4,800,1335.0,-0.102257416,-0.2188632,G1,6,SOM,IM,LPM1,SOM,SOM,SOM,LPM1,LPM1
259-0,0,bcIBQQ,35s1,1026.0,None,d4,d4,788,1026.0,0.2954256,0.03547356,S,10,NOTO,aNTB1,LPM1,aNTB2,LPM2,LPM2,LPM1,NMP
260-0,0,bcHDJY,35s1,996.0,None,d4,d4,700,996.0,0.25346088,-0.09903211,S,5,aNTB2,LPM1,LPM1,pNTB,LPM1,LPM1,LPM1,LPM1
261-0,0,bcEJKL,35s1,811.0,None,d4,d4,646,811.0,-0.093864396,-0.13930061,G1,6,pNTB,aPSM,SOM,WD,SOM,pNTB,LPM1,SOM
262-0,0,bcHUGA,35s1,740.0,None,d4,d4,647,740.0,-0.22307125,0.147156,G2M,5,ENDTH,aNTB1,pNTB,SOM,SOM,SPP,IM,aNTB1
276-0,0,bcGACI,35s1,7663.0,None,d4,d4,2315,7663.0,-0.2633819,-0.37071425,G1,5,NC,aNTB1,pNTB,WD,LPM1,LPM1,LPM1,aNTB1
277-0,0,bcBHDD,35s1,3166.0,None,d4,d4,1340,3166.0,0.07442442,0.27908486,G2M,0,LPM1,LPM1,LPM1,LPM2,LPM1,SOM,LPM1,LPM1
278-0,0,bcCGZY,35s1,2093.0,None,d4,d4,1063,2093.0,0.21521688,-0.24532819,S,6,SOM,SOM,SOM,SOM,SOM,SOM,LPM1,aPSM
279-0,0,bcCXMK,35s1,1603.0,None,d4,d4,914,1603.0,0.014245728,0.5375839,G2M,10,NOTO,LPM2,IM,strNTB,LPM2,NOTO,LPM2,LPM1
280-0,0,bcDQBN,35s1,1539.0,None,d4,d4,931,1539.0,-0.12458915,-0.22538376,G1,6,SOM,SOM,SOM,SOM,SOM,SOM,SOM,SOM
281-0,0,bcFUZW,35s1,1234.0,None,d4,d4,795,1234.0,-0.2097173,0.16714446,G2M,2,SPP,IM,LPM1,SOM,LPM1,pNTB,LPM1,LPM1
282-0,0,bcBAHU,35s1,1063.0,None,d4,d4,749,1063.0,0.061251648,-0.089689404,S,3,pNTB,LPM1,LPM1,pNTB,pNTB,LPM1,LPM1,LPM1
283-0,0,bcIFWO,35s1,898.0,None,d4,d4,676,898.0,-0.37498978,-0.28077662,G1,7,EPID,LPM1,LPM1,pNTB,LPM1,SPP,IM,aNTB1
284-0,0,bcFDKD,35s1,772.0,None,d4,d4,700,772.0,0.069211856,0.08822445,G2M,5,strNTB,LPM1,LPM1,strNTB,LPM1,LPM1,LPM1,strLPM
299-0,0,bcGELI,35s1,7767.0,None,d4,d4,2446,7767.0,-0.19634725,0.36379728,G2M,5,LPM1,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
300-0,0,bcCDEE,35s1,2616.0,None,d4,d4,1208,2616.0,0.35367405,-0.12667361,S,3,aPSM,aPSM,aPSM,strNTB,BLD,aPSM,aPSM,aPSM
301-0,0,bcEVMX,35s1,1935.0,None,d4,d4,976,1935.0,0.34679848,-0.17181179,S,0,SPP,LPM1,LPM1,SOM,SOM,SPP,LPM2,LPM1
302-0,0,bcAVJY,35s1,1664.0,None,d4,d4,999,1664.0,-0.15410474,-0.071913235,G1,2,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
303-0,0,bcBSBO,35s1,1567.0,None,d4,d4,890,1567.0,-0.054939836,-0.27692476,G1,6,pPSM,aPSM,aPSM,pPSM,aPSM,pPSM,pPSM,pPSM
304-0,0,bcDKRO,35s1,1309.0,None,d4,d4,764,1309.0,0.3584012,-0.17008553,S,2,aPSM,LPM1,LPM1,LPM2,LPM1,aPSM,LPM1,LPM1
305-0,0,bcIFPG,35s1,1068.0,None,d4,d4,736,1068.0,-0.3872546,-0.15411527,G1,10,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
306-0,0,bcFRBF,35s1,863.0,None,d4,d4,698,863.0,-0.20661414,0.17635053,G2M,6,aPSM,SOM,SOM,SOM,aPSM,aPSM,LPM1,aPSM
307-0,0,bcESSO,35s1,774.0,None,d4,d4,652,774.0,0.047163427,0.23414046,G2M,3,SOM,SOM,SOM,SOM,SOM,SOM,SOM,SOM
322-0,0,bcCJZZ,35s1,7669.0,None,d4,d4,2534,7669.0,-0.050640542,0.40771678,G2M,0,LPM2,LPM1,LPM2,LPM2,LPM2,LPM1,LPM1,LPM1
323-0,0,bcAQBN,35s1,2309.0,None,d4,d4,1155,2309.0,0.54087496,-0.08153884,S,3,pNTB,pNTB,pNTB,SOM,pNTB,pNTB,LPM1,pNTB
324-0,0,bcFHUC,35s1,2099.0,None,d4,d4,1120,2099.0,-0.19638044,0.15705833,G2M,5,EPID,IM,LPM2,SOM,LPM1,LPM2,strLPM,strLPM
325-0,0,bcECAL,35s1,1600.0,None,d4,d4,994,1600.0,-0.057961717,0.60340697,G2M,6,SOM,SOM,SOM,IM,SOM,pNTB,LPM1,SOM
326-0,0,bcFMHZ,35s1,1428.0,None,d4,d4,803,1428.0,0.04359661,-0.16305621,S,10,ALNT,LPM1,LPM2,WD,LPM2,pPSM,LPM1,LPM1
327-0,0,bcBRNC,35s1,1334.0,None,d4,d4,805,1334.0,0.040788144,-0.14640102,S,0,pPSM,pPSM,LPM1,strNTB,LPM2,pPSM,LPM2,LPM1
328-0,0,bcCHPY,35s1,1019.0,None,d4,d4,721,1019.0,0.68545276,-0.18369412,S,5,LPM1,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
329-0,0,bcDAHO,35s1,851.0,None,d4,d4,769,851.0,-0.012334086,0.51520616,G2M,7,EPID,IM,LPM1,WD,LPM1,SOM,LPM1,strLPM
330-0,0,bcDBZO,35s1,804.0,None,d4,d4,692,804.0,0.109977596,-0.3022013,S,6,SOM,IM,SOM,pNTB,SOM,SOM,IM,SOM
345-0,0,bcDSYX,35s1,8171.0,None,d4,d4,2500,8171.0,0.065145984,-0.28039327,S,6,SOM,IM,LPM1,SOM,LPM1,SOM,LPM1,LPM1
346-0,0,bcERTT,35s1,2627.0,None,d4,d4,1201,2627.0,-0.22371781,-0.19175191,G1,10,LPM1,LPM1,LPM1,SOM,LPM1,aNTB1,LPM1,LPM1
347-0,0,bcDPJD,35s1,1983.0,None,d4,d4,1041,1983.0,0.4921728,-0.114828326,S,5,NC,LPM2,IM,pNTB,LPM2,pNTB,LPM2,pNTB
348-0,0,bcDQGY,35s1,1641.0,None,d4,d4,959,1641.0,-0.38993314,0.15194145,G2M,6,strNTB,LPM1,LPM1,SOM,aNTB1,SOM,LPM1,aPSM
349-0,0,bcEWRY,35s1,1375.0,None,d4,d4,828,1375.0,0.2827516,-0.23878746,S,3,pNTB,pNTB,pNTB,pNTB,LPM1,pNTB,LPM1,NMP
350-0,0,bcHPBE,35s1,1277.0,None,d4,d4,835,1277.0,-0.24992426,-0.2905841,G1,7,EPID,IM,LPM1,LPM2,LPM1,SPP,LPM1,LPM1
351-0,0,bcBWJN,35s1,954.0,None,d4,d4,663,954.0,-0.29506594,0.088545226,G2M,10,EPID,IM,LPM1,pNTB,LPM1,pPSM,LPM1,LPM1
352-0,0,bcEZVO,35s1,958.0,None,d4,d4,719,958.0,-0.11374268,-0.12067033,G1,7,EPID,LPM1,LPM1,pNTB,LPM1,LPM2,LPM2,LPM1
353-0,0,bcHFZZ,35s1,822.0,None,d4,d4,721,822.0,-0.15167639,-0.13071547,G1,2,IM,IM,IM,SOM,IM,IM,IM,IM
368-0,0,bcGFOX,35s1,7689.0,None,d4,d4,2334,7689.0,-0.21799164,0.36222243,G2M,6,SOM,SOM,SOM,SOM,LPM1,SOM,SOM,SOM
