index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden,pr_NearestNeighbors,pr_SVM-Linear,pr_SVM-RBF,pr_DecisionTree,pr_RandomForest,pr_NeuralNet,pr_NaiveBayes,pr_LDA
680-3,3,bcGYWD,35s2,1080.0,None,d4,d4,746,1080.0,-0.19237845,0.09427851,G2M,3,pNTB,pNTB,pNTB,strNTB,pNTB,pNTB,LPM2,pNTB
681-3,3,bcGQAG,35s2,1111.0,None,d4,d4,766,1111.0,-0.15480053,-0.233829,G1,1,NMP,IM,LPM1,WD,LPM1,pNTB,LPM1,LPM1
682-3,3,bcAWMP,35s2,836.0,None,d4,d4,787,836.0,0.4950947,0.14307128,S,5,pNTB,pNTB,pNTB,WD,pNTB,pNTB,LPM1,pNTB
683-3,3,bcGBQY,35s2,965.0,None,d4,d4,717,965.0,-0.20315818,-0.15804054,G1,0,IM,IM,LPM1,LPM2,LPM2,SOM,LPM2,LPM1
684-3,3,bcHYLN,35s2,755.0,None,d4,d4,711,755.0,-0.0045916103,-0.10197209,G1,5,aNTB1,pNTB,aNTB1,WD,aNTB1,pNTB,IM,aNTB1
685-3,3,bcBTWQ,35s2,733.0,None,d4,d4,685,733.0,0.3322513,-0.16669744,S,4,aPSM,LPM1,LPM1,SOM,SOM,aPSM,LPM1,aPSM
697-3,3,bcANRJ,35s2,6230.0,None,d4,d4,2203,6230.0,0.29782248,-0.16731331,S,0,LPM2,LPM1,IM,SOM,LPM2,LPM2,LPM2,LPM1
698-3,3,bcBKLU,35s2,2602.0,None,d4,d4,1270,2602.0,-0.14200547,0.5887815,G2M,5,pNTB,pNTB,pNTB,SOM,LPM2,pNTB,LPM2,pNTB
699-3,3,bcFAOJ,35s2,2276.0,None,d4,d4,1094,2276.0,0.025964718,-0.048418853,S,0,IM,LPM1,LPM1,pNTB,LPM1,LPM1,LPM2,LPM1
700-3,3,bcCUPG,35s2,1818.0,None,d4,d4,1031,1818.0,-0.08072582,0.0659577,G2M,0,BLD,LPM1,LPM1,WD,SOM,SOM,LPM1,LPM1
701-3,3,bcHHKC,35s2,1537.0,None,d4,d4,931,1537.0,-0.13139592,0.16743213,G2M,5,pNTB,pNTB,pNTB,SOM,SOM,pNTB,LPM1,pNTB
702-3,3,bcCLSR,35s2,1321.0,None,d4,d4,860,1321.0,-0.27892384,-0.029470868,G1,2,strNTB,IM,LPM1,pNTB,LPM1,LPM1,LPM1,strLPM
703-3,3,bcFQEC,35s2,1139.0,None,d4,d4,777,1139.0,0.2475533,0.2402842,S,2,NMP,LPM1,LPM1,WD,LPM1,aPSM,LPM1,NMP
704-3,3,bcCTXI,35s2,993.0,None,d4,d4,769,993.0,0.19309361,-0.2619481,S,3,SOM,IM,IM,SOM,SOM,SOM,LPM2,SOM
705-3,3,bcGVRT,35s2,856.0,None,d4,d4,709,856.0,0.15717587,0.12660334,S,12,aNTB1,aNTB1,aNTB1,SOM,aNTB1,aNTB1,aNTB1,aNTB1
706-3,3,bcFNMP,35s2,724.0,None,d4,d4,692,724.0,-0.31960753,0.42562374,G2M,12,LPM2,LPM1,LPM2,LPM2,LPM2,LPM2,LPM2,LPM2
719-3,3,bcCLQD,35s2,5763.0,None,d4,d4,2024,5763.0,-0.05656995,-0.3387581,G1,0,aNTB2,LPM1,LPM1,SOM,LPM1,aNTB2,LPM2,LPM1
720-3,3,bcBINY,35s2,4616.0,None,d4,d4,860,4616.0,-0.2721966,-0.26239625,G1,14,BLD,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1
721-3,3,bcCFMO,35s2,2202.0,None,d4,d4,1090,2202.0,0.2052909,0.26372385,G2M,5,pNTB,LPM1,pNTB,pNTB,LPM1,pNTB,LPM1,pNTB
722-3,3,bcGBFP,35s2,1608.0,None,d4,d4,925,1608.0,-0.16411166,0.60381514,G2M,5,aNTB1,aNTB1,aNTB1,pNTB,aNTB1,aNTB1,LPM2,aNTB1
723-3,3,bcEDUA,35s2,1506.0,None,d4,d4,890,1506.0,-0.063116215,0.22909635,G2M,3,SPP,LPM1,IM,SOM,LPM1,SPP,LPM2,LPM1
724-3,3,bcGTRV,35s2,1345.0,None,d4,d4,848,1345.0,0.5454457,-0.18720187,S,2,NMP,pPSM,aPSM,SOM,pPSM,pPSM,aPSM,NMP
725-3,3,bcDJFE,35s2,1218.0,None,d4,d4,814,1218.0,-0.17407526,0.458577,G2M,6,LPM1,LPM1,LPM1,SOM,LPM1,SOM,LPM1,LPM1
726-3,3,bcAZBT,35s2,854.0,None,d4,d4,729,854.0,-0.22948256,0.068911955,G2M,3,ALNT,LPM1,LPM2,pNTB,LPM2,pNTB,LPM1,LPM1
727-3,3,bcBQMT,35s2,809.0,None,d4,d4,705,809.0,-0.29457098,-0.20621534,G1,11,NOTO,IM,IM,NMP,IM,ENDO,IM,IM
728-3,3,bcFUYY,35s2,769.0,None,d4,d4,677,769.0,-0.27481246,-0.262051,G1,5,aPSM,LPM1,LPM1,strNTB,LPM1,aPSM,IM,NMP
741-3,3,bcGVPW,35s2,6163.0,None,d4,d4,2129,6163.0,0.05553312,-0.2370289,S,0,pPSM,LPM1,LPM1,SOM,LPM1,pNTB,LPM1,LPM1
742-3,3,bcCWTJ,35s2,2616.0,None,d4,d4,1238,2616.0,-0.10101385,-0.023011064,G1,3,EPID,pNTB,IM,pNTB,LPM1,SPP,LPM1,NMP
743-3,3,bcGXPD,35s2,1978.0,None,d4,d4,945,1978.0,0.18704998,0.042191427,S,2,aPSM,LPM1,LPM1,WD,LPM1,aPSM,LPM1,LPM1
744-3,3,bcDFUV,35s2,1859.0,None,d4,d4,947,1859.0,0.1542715,0.10055169,S,5,IM,IM,LPM1,SOM,LPM1,SOM,LPM1,LPM1
745-3,3,bcAWVH,35s2,1596.0,None,d4,d4,923,1596.0,0.042960018,-0.102297574,S,0,SOM,LPM1,LPM1,SOM,SOM,SOM,LPM1,LPM1
746-3,3,bcBQOV,35s2,1316.0,None,d4,d4,820,1316.0,-0.1634641,0.060936965,G2M,3,aPSM,aPSM,LPM1,SOM,LPM1,aPSM,LPM1,aPSM
747-3,3,bcEEDB,35s2,1287.0,None,d4,d4,799,1287.0,0.24848817,-0.10811993,S,5,SPP,IM,IM,pNTB,IM,SPP,IM,IM
748-3,3,bcEMNI,35s2,1017.0,None,d4,d4,762,1017.0,0.07769548,0.2510645,G2M,2,strLPM,LPM1,LPM1,SOM,LPM1,SOM,LPM1,strLPM
749-3,3,bcIDHR,35s2,920.0,None,d4,d4,738,920.0,-0.12702785,-0.3435997,G1,2,ENDTH,LPM1,LPM1,SOM,LPM1,pNTB,LPM1,LPM1
750-3,3,bcFNWD,35s2,821.0,None,d4,d4,699,821.0,-0.025940739,-0.3304675,G1,0,strLPM,IM,LPM1,SOM,SOM,SOM,strLPM,strLPM
763-3,3,bcHCPV,35s2,9513.0,None,d4,d4,1461,9513.0,-0.23225518,-0.38957638,G1,14,BLD,LPM1,LPM1,LPM1,LPM1,LPM1,LPM1,strLPM
764-3,3,bcABZU,35s2,2715.0,None,d4,d4,1311,2715.0,-0.17172419,-0.09180953,G1,7,EPID,aPSM,IM,WD,BLD,EPID,EPID,NMP
765-3,3,bcGLAT,35s2,2020.0,None,d4,d4,977,2020.0,-0.11862296,-0.29347196,G1,10,NOTO,LPM1,LPM1,SOM,LPM2,NOTO,LPM1,LPM1
766-3,3,bcFZPX,35s2,1864.0,None,d4,d4,1003,1864.0,0.17572792,-0.021120323,S,5,aNTB1,LPM1,LPM1,WD,LPM1,aNTB1,LPM1,LPM1
767-3,3,bcAEZB,35s2,1407.0,None,d4,d4,869,1407.0,0.2600028,-0.21545932,S,2,pPSM,LPM1,aPSM,SOM,pPSM,aPSM,LPM2,LPM2
768-3,3,bcGODO,35s2,1294.0,None,d4,d4,846,1294.0,-0.06964824,-0.19887589,G1,0,strLPM,LPM1,LPM2,LPM2,LPM2,strNTB,strLPM,strLPM
769-3,3,bcEFOD,35s2,1183.0,None,d4,d4,823,1183.0,-0.18547642,0.0736372,G2M,0,LPM1,LPM1,LPM1,WD,LPM1,LPM1,LPM1,LPM1
770-3,3,bcHSVS,35s2,1034.0,None,d4,d4,788,1034.0,-0.26238707,-0.020496622,G1,6,SOM,LPM1,SOM,SOM,SOM,SOM,LPM1,SOM
