,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges
635,SEPT7,0.08280501974506685,0.22434472,COL4A1,0.455082407634227,0.6120418,RRS1,0.44715544607694424,0.17231026,SCD5,0.5492033747126022,0.19900192,UBL5,0.28896539123507226,0.1999658,TRIB2,0.7123514285122878,0.15131943,MAPK8,0.6115881503466237,1.5396365
636,MZT1,0.08310728068197393,1.153581,GPR162,0.4558450300334782,0.50688934,ND4L,0.44792521773794547,0.22701266,UPF3B,0.5492789969164558,0.32488996,FASTKD2,0.28924643883140744,0.6216032,SNRPF,0.7123514285122878,0.18956655,TCEB3,0.6126068500134895,1.4960517
637,CMPK1,0.08352780230150583,0.47114438,HARS,0.45651291401817573,0.18016545,PDXP,0.4490555769854595,0.69239247,HMGCS1,0.549392439850839,0.24680732,ABHD17B,0.2895276705057156,0.6051863,SPG7,0.7143055496620467,0.26171714,LHFPL6,0.6126068500134895,1.5316526
638,COMMD5,0.08381834225306227,0.72799784,NEMF,0.4568470621756835,0.34201145,CHMP7,0.44933841947842856,0.3166798,PSMA3,0.5496571849536273,0.08495846,STX7,0.28980908627114377,1.5153621,NDUFS2,0.7144277446182609,0.19748428,DRAXIN,0.6131164809003233,1.5204704
639,QTRT2,0.08401248972742027,0.49180582,CYB5R3,0.4569903105875245,0.23415692,FZD3,0.4504450455233112,1.2584981,PUM1,0.5501490212076592,0.18320662,EXOC4,0.29056042841187635,1.0792847,ZC3H10,0.7144888448424158,0.95553565,C11orf58,0.6131164809003233,0.7108073
640,FAM210B,0.08401943029278491,1.1795614,SRPK2,0.45825676690378025,0.97765416,GIT1,0.45217239596409486,0.7586002,SSR3,0.5503760956425591,0.095612794,COQ5,0.2908111667640615,0.92919654,PTPRF,0.7145499468967962,2.1583529,SH3YL1,0.6133713665197145,1.465763
641,HNRNPM,0.0840680272473313,0.27582702,PSMC3IP,0.4589505659656732,0.18222238,EIF4B,0.45250798666470526,0.385773,GABARAPL1,0.5505653595823163,0.5400417,PACSIN3,0.2918784281080641,1.4015409,SNAPC3,0.7148554846096605,0.50683284,ZNF609,0.6133713665197145,1.5341778
642,C7orf50,0.08410969988651235,0.48915753,FAM169A,0.4599564211890501,1.0120574,WDR35,0.4526629221268278,0.8862742,NCMAP,0.5508682485033513,3.457855,RIDA,0.29197272442519073,0.6330029,TMEM164,0.7152833141777584,0.71107036,UBA2,0.6136262988897572,0.51259273
643,DYNLT1,0.0849676797362627,0.5377903,SIRT2,0.4600043498118839,0.250046,ATP6V1H,0.45268874761674394,0.35932523,TPR,0.5519290048632481,0.21009365,SGTA,0.29260188959627764,0.5385873,SATB1,0.7155278283879057,1.8985072,FNTA,0.6136262988897572,1.5502307
644,HMGN3,0.08503073564858506,0.71454394,NOL8,0.46024403484648513,0.3488493,STOML2,0.45279205789820687,0.12227473,GDF3,0.5539396076939755,0.3947299,FARSB,0.29367355834568865,0.46557313,CRYBG2,0.7155278283879057,1.8985072,RACGAP1,0.614136303781702,0.5312675
645,ZC3H15,0.08505877264298779,0.2290722,BUD13,0.46103549098906793,0.3024413,TP53I11,0.4528178875489186,1.2016857,RNF214,0.5550412646032344,0.20909356,GCDH,0.29449484414898064,1.283399,GPR89B,0.7176685702268053,1.0971398,ZC3H13,0.6143913762535145,0.51878804
646,DHX15,0.08517801328257607,0.2261686,EIF3D,0.4626206829851808,0.06873005,SEMA3A,0.4529212144725264,1.2337615,C12orf43,0.5550792718616093,0.9985221,EXOC3,0.294684590062563,0.95905805,TNRC6B,0.7176685702268053,1.0971398,RPRD1B,0.6149016611234683,0.4783298
647,SCP2,0.08609432846180988,0.24028257,SDK1,0.46266876651742606,0.3828257,KRR1,0.4529987184014501,0.22804949,SEMA5B,0.5556115069799378,1.1774184,ETF1,0.2954127082715987,0.54568803,ITM2A,0.7179133680389513,0.07695032,TIMELESS,0.6151568734714185,1.5025879
648,VBP1,0.08725448138054874,0.3123869,CCNL2,0.4627168528369574,0.32227004,EFNB1,0.4532571189048885,0.37785855,NIT2,0.5564864338131027,2.176701,AIFM2,0.29544439289256264,2.2041943,DTX2,0.7179133680389513,1.0585928,YPEL1,0.6151568734714185,1.4944602
649,ARFGAP3,0.08780689975789145,0.47321936,STRA6,0.46288517690320297,0.51225185,IAH1,0.45400695064111174,0.11144275,DQX1,0.5570193266616001,1.1216075,LRRC28,0.2956662489609898,0.8784151,FKBP9,0.7180969854074732,0.18905336,DNAJC15,0.6154121323945285,1.5332835
650,ACAD9,0.08852853311148653,0.32173902,INTS13,0.4635828830569513,0.34931302,PPP1CC,0.4544468321837989,0.102253765,MALSU1,0.5573620318573365,0.24157931,SNAP29,0.29674542192929343,1.5598716,LUC7L,0.718219406033237,0.69294953,SAV1,0.6159227898656612,0.50756145
651,PUS1,0.08916023566168135,0.62160856,ACOT13,0.4639439953111677,0.18777978,PRPF4,0.4551200565619934,0.29972583,DIEXF,0.5574762897312368,0.29447374,BCLAF1,0.2969043457637601,0.3028999,HLF,0.7184030505348681,0.49787202,MTMR14,0.6159227898656612,1.5365505
652,MAP1LC3B,0.08976627393267633,0.32344937,PIGM,0.4647148913656618,1.9030695,SNX14,0.4556901463376264,0.5406711,MRS2,0.5581620763137167,1.0569792,NAXD,0.29779537096799347,1.3429471,MTG1,0.7188928487073227,0.34393758,NBL1,0.6161781883633577,1.4442693
653,SLC19A1,0.09004484179884482,0.24034888,SRPX,0.4647148913656618,1.9030695,ALG8,0.4562865786870657,0.46109113,MYLK,0.5589245421983948,0.65967613,METRNL,0.2999027075763232,0.40461844,NUCB2,0.7191990312258453,0.17326044,FXN,0.6169446626026587,1.5008363
654,AP1M1,0.09025790082589642,0.5389759,RBM38,0.4659208416947267,0.38709632,SAP18,0.4565979349479815,0.05284061,MAU2,0.5590008165986156,0.3489167,TAZ,0.2999347132074969,0.60057575,IDH1,0.7191990312258453,0.40301633,CENPF,0.6172002468470899,0.462486
655,RHOT1,0.09055244080633452,0.6163344,POMGNT1,0.4659691158349131,0.8055,PRKCA,0.4570392273305729,1.0842695,ARFGEF1,0.5593822643983057,1.3423964,SRSF2,0.3006394133293163,0.1930529,OXR1,0.7194440096932353,0.35902253,INTS8,0.6179672777207983,1.4852946
656,ARL5B,0.09073692062024032,0.27195513,CCDC93,0.4661863838382061,0.8784192,POLR2L,0.4573508720296432,0.07220094,TMA16,0.5594204161245527,0.66226846,ACAD9,0.3016985306291897,0.29715076,SEC11C,0.7195052588144051,0.34303477,CD63,0.6182230473078756,1.5159793
657,TADA1,0.09095129579122298,0.84478015,APP,0.46751535419526324,0.33042124,gga-mir-3526,0.45810450580162854,0.5923643,POLR2K,0.5595730356550963,0.31677866,HMOX1,0.3017627992869908,2.7669578,EXTL3,0.7196890169825656,0.5845511,CDC42SE2,0.6182230473078756,1.4798615
658,IGFBP2,0.09116607807155792,0.31607574,ACO2,0.46853161669741783,0.108974405,PISD,0.45833853372036315,0.22697514,ELK3,0.559878335302019,0.55165404,UBE2E1,0.3017949370330989,0.6899882,TSC22D2,0.7199340530709426,0.43107963,RNF111,0.6184788631673499,1.4500535
659,NSF,0.09164896806656683,0.83182275,EIF4EBP2,0.46923403482078163,0.1349798,NFE2L1,0.45846857819746234,0.23886408,RNF130,0.5599546728320217,0.17405513,DNAJC8,0.3019235107991465,0.3732167,ALDH4A1,0.7214661796740818,1.280781,C18orf21,0.6189906336021138,1.4418454
660,TIMM9,0.09243336124366171,0.48900044,TFRC,0.47013106837387064,0.6116097,WDR3,0.45880679064672336,0.13534424,SFT2D1,0.5599546728320217,0.2891951,MSX1,0.3019556599361124,0.19914995,TGFB1,0.7218340566982127,1.810798,CDK9,0.6195025888221736,1.4483615
661,ADD1,0.09253835312839481,0.47594643,PITRM1,0.47234131064397267,0.46425715,NAV1,0.45919720948997056,0.4057965,MCCCBML,0.5602218939201296,0.6410443,PRORSD1P,0.30201996504465867,0.5018769,PTPRQ,0.7220180193449857,1.7618465,PCCA,0.6197586356632043,1.4860096
662,MAPRE2,0.09256086384321945,0.6611177,PSEN2,0.47294952072119767,0.7208731,CCPG1,0.46049994889861634,0.75929874,GNA11,0.5614824822317164,0.50315404,POLR2K,0.3029211934527235,0.428446,CBLB,0.7220793438003623,1.2054912,D2HGDH,0.6202708676801515,1.4683611
663,PARN,0.09259088496905334,0.5243253,MMS19,0.4749962603160274,0.93161297,BMI1,0.4608650860039267,0.18089584,AUP1,0.5618647493485089,0.4012223,TDP2,0.30534399931914913,0.7023427,RTKN,0.7222633278808215,0.9351064,NGLY1,0.621295884340684,1.4853098
664,NOC3L,0.09271856198557359,0.5454328,AKAP1,0.4755575237871752,0.70360404,UBE4A,0.46125648387198204,0.31566614,NRF1,0.5628592321299875,0.76864845,CDC7,0.30544117818909755,0.58858037,CSAD,0.7223246594778872,0.5952192,NMRAL1,0.621295884340684,1.4499055
665,NDUFS1,0.09329863477713116,0.34513676,SCAF11,0.47599702707443825,0.13959238,TYRO3,0.4614130950080435,0.472501,MTMR8,0.5630505761500262,0.50868446,CIAPIN1,0.3057652559016538,0.35230473,TMLHE,0.723428933030441,0.5029419,HTRA2,0.621295884340684,1.4659426
666,MVD,0.09363898427677153,0.6061272,HIBCH,0.4761924333163897,0.40365806,USP1,0.46245792803892005,0.11399392,BAK1,0.5630505761500262,0.2986343,RTCB,0.3065439723507787,0.46841285,ZNHIT6,0.7238585284402737,0.3362034,SERPINH1,0.6218086685762935,1.4567834
667,PSMG3,0.0936844393626972,0.5397141,LRRC20,0.47633901684331303,0.36228573,ATP6V1C1,0.4625102043160717,0.35120368,MOB3A,0.5633567918329445,0.34177053,FGFR1OP2,0.30719390565716387,1.1345739,CELF2,0.7242268223277,1.0365067,GTF2H1,0.6225781892366378,1.4445971
668,BIRC5,0.09376023716815599,0.2976758,TMX3,0.4766322580536557,0.5013746,ATOX1,0.46274548835339535,0.1288204,SMARCC1,0.5634716434114284,0.18959673,MOCS2,0.30742159772785804,0.65053284,IGF2R,0.7249021935419713,0.5066771,WRB,0.6228347878362563,1.4529979
669,NDUFS6,0.09381332489222859,0.44153416,TMEM59,0.4782713372454658,0.35322052,TM9SF2,0.46347790984115644,1.1040431,MARS,0.564544135418483,0.20921904,SBDS,0.3076168512634817,0.42053732,ATP6V0A1,0.7249636015487297,0.9573742,MT3,0.6228347878362563,1.4439161
670,PRPF40A,0.09465837084993405,0.41965637,AAMP,0.47849174651968107,0.27080157,SLC39A9,0.46418478470409674,0.26886258,HOXA2,0.5651574287096159,2.2887452,BIRC5,0.30986816575993115,0.384949,OGDH,0.7253320867265862,0.26054096,NDUFA1,0.6236048584148923,0.5133686
671,CRLF3,0.0956249928199888,0.6086822,AIDA,0.47863871686219894,0.2042358,LPCAT3,0.46436814647289304,0.2877535,PRCP,0.5654641954133626,1.0901678,CTNNBIP1,0.3109487185244989,0.6126068,WDR55,0.7254549292580896,0.20482641,STX8,0.6238616401155084,1.4529978
