,0_names,0_pvals,0_logfoldchanges,1_names,1_pvals,1_logfoldchanges,2_names,2_pvals,2_logfoldchanges,3_names,3_pvals,3_logfoldchanges,4_names,4_pvals,4_logfoldchanges,5_names,5_pvals,5_logfoldchanges,6_names,6_pvals,6_logfoldchanges,7_names,7_pvals,7_logfoldchanges,8_names,8_pvals,8_logfoldchanges,9_names,9_pvals,9_logfoldchanges,10_names,10_pvals,10_logfoldchanges,11_names,11_pvals,11_logfoldchanges,12_names,12_pvals,12_logfoldchanges,13_names,13_pvals,13_logfoldchanges
10,LIMD2,2.73138952959279e-07,0.8878326,CLEC19A,3.617001255796528e-15,1.5212659,SFRP2,3.050650219114001e-23,2.3987134,JARID2,1.8433760786410756e-23,1.5227426,PTN,7.479992248261317e-33,2.0868192,IRF6,2.2013668729750824e-36,4.891581,OLFML3,4.141621976188906e-05,2.6208825,TXN,6.69230375378384e-06,0.8052289,HDGF,2.3048145704236523e-36,2.2095184,GMPS,0.08554835220627863,2.0501812,INTS8,0.2462069320917365,1.4781457,NDUFA8,0.11057924186393805,0.67311627,ARPC2,0.113272360770078,1.1270574,SRRM1,0.018996136634020142,1.5522288
11,DLX5,7.11550386837009e-07,1.5217893,SMOC1,6.1812710009528306e-15,0.96865034,ENO1,8.418829165126774e-23,0.5118509,TPST1,1.709503957581396e-22,1.4006035,RHOU,1.0081399690849404e-32,2.2049205,TPM1,2.79939024087129e-35,2.0600302,COL1A1,5.84412349105439e-05,3.1177495,TPM4,8.596974553511042e-06,1.3339607,PABPC1,1.2502046857975927e-32,2.3891366,PRTG,0.08615823913061772,1.1982701,COX7A2,0.2624159095994074,0.6536788,NPM3,0.1227333896117858,0.5977704,MAPRE2,0.12538211257889018,1.271249,MRPL19,0.019036632830642962,1.8699086
12,MFAP2,3.160170579386661e-06,0.95389044,DHX37,1.650261078274277e-14,1.0410892,TUBB4B,7.288447906724132e-21,0.7969936,CHST15,3.184583795536496e-17,1.6862901,GPC4,2.3805369398559305e-29,1.9763964,KRT19,6.602367506784326e-34,2.8831265,ISL1,6.181983417909289e-05,4.2030044,UCH-L1,2.744497427304553e-05,1.9384997,PRDX3,1.0260855032285932e-31,2.880414,SLC9A3R1,0.08722957668299024,1.1254401,COX6C,0.26800779102643646,0.33885586,SYNGR2,0.12968754358500867,1.7050487,ARPC5L,0.13671646996814582,1.8953856,ATP6V0C,0.019495372383974054,1.4301686
13,HOXD12,3.449100680694979e-06,0.54094654,ARHGDIB,4.3922270017465013e-14,1.0274159,GNG10,1.1004832217237161e-20,1.9253104,MKRN1,1.3726882917649718e-16,1.2945634,RNH1,2.618093679850648e-29,1.6557469,PURH,8.648292967829156e-34,1.8483064,TWIST1,6.232715722518448e-05,1.5769213,RPS2,2.7560963100303332e-05,0.84870505,HMBS,2.0432157071700347e-31,4.2856464,WRB,0.09167798088962183,1.7570108,ZC3H7A,0.2857211393685317,1.4076058,XPO5,0.13134709120924498,0.881395,ARIH1,0.1378887867203589,1.3856727,CHRND,0.021097923000293808,28.426584
14,ARID3A,3.6132115509972667e-06,0.5711475,LEF1,2.196612300155532e-12,1.1849635,TUBA1B,1.2671229244896932e-20,0.4088734,AKAP12,8.376350618848097e-16,1.363862,COLEC12,2.5019400459796903e-27,2.021705,GPX1,3.495778537531905e-24,2.1268184,VEGFD,0.00016670380001440713,5.4315124,ANXA1,2.811307833504689e-05,7.935438,TUBB1,3.0247484225597562e-28,7.270475,PFDN1,0.09473100189140815,1.0301244,SLC10A7,0.29137260125549125,1.9225566,DIPK2A,0.13385125648481594,2.9036922,MTA1,0.13972777212507448,1.2008296,EGR4,0.021097923000293808,28.426584
15,HSPA8,4.051034346080526e-06,0.26631206,JARID2,7.556389176167077e-12,1.0067235,HSP90AA1,1.0290570346396765e-19,0.7042057,ENHO,5.4103799810580577e-14,1.8555144,PPFIBP1,7.93689487311584e-27,1.4013222,H3F3B,5.407574306107304e-23,0.92890644,HOXD13,0.00034042276440701983,2.0881436,MID1IP1,4.824383623692281e-05,2.1876662,HBBA,1.1237962978249556e-27,11.0503645,SNW1,0.09730483398123584,1.1647427,KLHL24,0.2941118188143882,0.7453768,ZNF639,0.14583496393219453,1.5723203,ZFC3H1,0.1486524436076897,2.4515908,NELFB,0.021249146416413987,2.5375211
16,MIF,1.710102619318371e-05,0.26410624,ACTN1,1.162316816448536e-11,0.9565525,PKM,3.3268654588518305e-19,0.5179714,GNAI3,1.6056354658515838e-12,0.6563501,FABP5,6.003515178539146e-20,2.7863793,BTG1,2.0989148621652368e-22,1.5969728,IGFBP2,0.0007659094614484053,1.1440408,HOXD13,7.877494471267202e-05,2.6511922,FECH,1.2515276569706233e-27,6.1464214,RCOR3,0.09901247863613306,1.1222459,MBNL3,0.3027128288232238,0.6981408,MBD3,0.15728211301640888,1.6850747,KNSTRN,0.15455440548226804,1.4979582,MCM4,0.021266999327653132,2.6441958
17,SDC3,1.849362962364853e-05,0.8166061,METTL6,2.7917484074731384e-11,1.1632735,LMO4,2.817453035561359e-17,1.1161952,HOXA7,2.8667788958311872e-12,1.193531,ANXA5,1.4564555660133704e-17,1.5186971,EPCAM,2.761925637100356e-22,3.7084773,CDH11,0.0011152438703260902,2.0858493,EEF1A1,0.00011685240111467043,0.5953247,RBM38,4.632778939152022e-26,3.7733173,CANX,0.10959660576171062,0.91398406,RASSF2,0.3043498121091377,4.8805614,MKRN1,0.16863476191895055,0.892658,RAB7A,0.15884149844677364,0.7845064,IL17RD,0.021872669413448825,2.6177218
18,CDH11,4.213152862408581e-05,1.440012,COLEC12,1.3642644182773406e-09,1.0199887,YBX1,3.658144829615974e-15,0.34103394,H3F3C,1.553179686149264e-11,0.3687792,MMD,2.850050631552103e-17,1.6684968,RPL37,8.421929191924716e-22,0.8371703,BAG3,0.0015609275330379705,1.2381104,ATP5MC3,0.00013843115714472977,0.7248099,AK2,9.514745385677016e-25,2.7520018,ATP5ME,0.11453269177213649,0.5641186,HOXB7,0.30716972009375665,1.1659403,SNX14,0.16997149176568604,2.18123,CDK9,0.15971692627104572,2.2775276,MSX2,0.022287839238443005,1.8170841
19,S100A6,8.283734994060352e-05,1.0342244,CADM1,2.621983836824738e-09,1.3210707,HES4,4.436143962705968e-14,1.0397698,SCD,2.5704635136771813e-11,0.8522353,LFNG,3.544561988572886e-17,1.6218393,GPI,1.9327993570002376e-20,1.2641326,CDC42EP4,0.0043381501049477595,1.6887273,EIF4A2,0.00015341677266027771,0.97291356,CCND3,1.0844809309467694e-24,4.9793735,STT3A,0.12464685162575291,1.0590508,VPS26A,0.3076413814729799,0.75799155,LZTS2,0.18127381768876139,9.602847,METTL14,0.16088983308826266,1.4679806,LSG1,0.025017998757229282,2.375931
20,EBF3,0.0001629023462940333,1.7335885,ANXA5,5.447928752172543e-09,0.9295098,GAPDH,5.715912376117203e-14,0.33465162,ANP32B,2.391218259369362e-10,0.38937712,POSTN,4.555726191312031e-17,2.955641,IGFBP2,1.0775385484907127e-19,1.726979,MFAP2,0.004726536557087172,1.1671438,EIF3E,0.00017397653469823252,1.1678635,ABCB10,2.8746744629163063e-24,5.4110627,RAD21,0.12738838782875897,0.6639597,MARCH7,0.3154449996072801,0.933464,HOXA9,0.1840220414662591,0.6616003,PCBD1,0.1632551519287726,0.9401796,PDCD5,0.025704671184829702,1.4226176
21,SDCBP,0.0001670691249944916,0.5696991,WLS,2.1135708371349366e-08,0.565513,TUBA1A,1.4934943978353466e-13,0.6716351,ARHGEF9,3.749565199672992e-10,2.0595434,FSTL1,5.918622710903482e-17,1.078693,SPARC,3.060449824188828e-19,1.7879158,SPARC,0.004879717863638556,0.9141806,TIMP3,0.00020371045712253656,2.2915704,GPX1,3.869214787968876e-23,3.0728743,Meis2a.2,0.1296925302856869,1.293918,ANAPC1,0.31616517931228094,0.95133764,RTFDC1,0.18795423855517224,1.4811255,RAB3GAP1,0.16587213638068277,2.2237258,AKR1B10L1,0.026896312520083978,1.3862318
