index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
3308-0,0,bcEGCO,35s1,1287.0,None,d4,d4,714,1287.0,-0.28753838,0.030864889,G2M,1
3309-0,0,bcCPWM,35s1,1220.0,None,d4,d4,665,1220.0,-0.25175753,-0.03276962,G1,6
3310-0,0,bcELYM,35s1,1162.0,None,d4,d4,656,1162.0,-0.13678584,-0.350123,G1,3
3311-0,0,bcCZUF,35s1,1069.0,None,d4,d4,646,1069.0,0.045926612,-0.00043463707,S,2
3312-0,0,bcADED,35s1,956.0,None,d4,d4,570,956.0,-0.016924463,-0.056795627,G1,0
3313-0,0,bcCNUR,35s1,711.0,None,d4,d4,492,711.0,0.01840258,-0.30239135,S,7
3327-0,0,bcAEZW,35s1,3014.0,None,d4,d4,1123,3014.0,-0.01891324,0.09653556,G2M,3
3328-0,0,bcFPYQ,35s1,2230.0,None,d4,d4,1042,2230.0,-0.10073101,-0.17144145,G1,9
3329-0,0,bcGVGE,35s1,1834.0,None,d4,d4,885,1834.0,0.28625098,0.5216121,G2M,2
3330-0,0,bcDLPD,35s1,1649.0,None,d4,d4,796,1649.0,-0.32734045,0.4517006,G2M,1
3331-0,0,bcDSRA,35s1,1187.0,None,d4,d4,672,1187.0,-0.33097208,0.32312793,G2M,1
3332-0,0,bcFPTZ,35s1,1141.0,None,d4,d4,660,1141.0,-0.015353344,-0.09146664,G1,1
3333-0,0,bcFYBB,35s1,878.0,None,d4,d4,562,878.0,-0.3487062,0.16362752,G2M,0
3334-0,0,bcFBRG,35s1,924.0,None,d4,d4,590,924.0,-0.0028639212,0.20429972,G2M,3
3335-0,0,bcCYVK,35s1,825.0,None,d4,d4,568,825.0,0.027342703,-0.10566559,S,0
3349-0,0,bcFMDY,35s1,2665.0,None,d4,d4,1136,2665.0,0.05532125,0.15201445,G2M,5
3350-0,0,bcHKMJ,35s1,2279.0,None,d4,d4,1011,2279.0,-0.02329377,0.024393793,G2M,1
3351-0,0,bcBOBZ,35s1,1744.0,None,d4,d4,829,1744.0,0.099880345,0.5048781,G2M,2
3352-0,0,bcDCSK,35s1,1630.0,None,d4,d4,826,1630.0,-0.12507991,0.18069865,G2M,0
3353-0,0,bcCIIB,35s1,1362.0,None,d4,d4,697,1362.0,-0.19304442,0.21353449,G2M,0
3354-0,0,bcBALF,35s1,1214.0,None,d4,d4,646,1214.0,0.11408795,-0.114237025,S,0
3355-0,0,bcDLFM,35s1,1095.0,None,d4,d4,619,1095.0,0.61036795,0.04268028,S,0
3356-0,0,bcERWE,35s1,889.0,None,d4,d4,578,889.0,0.53768474,-0.20090897,S,4
3357-0,0,bcDNIJ,35s1,810.0,None,d4,d4,540,810.0,-0.31311572,0.12902072,G2M,3
3371-0,0,bcHGHC,35s1,2789.0,None,d4,d4,1151,2789.0,-0.2426972,0.3120366,G2M,1
3372-0,0,bcCBPL,35s1,2061.0,None,d4,d4,812,2061.0,-0.23916642,-0.19752334,G1,5
3373-0,0,bcHBJX,35s1,1734.0,None,d4,d4,809,1734.0,-0.113317885,0.0077871475,G2M,3
3374-0,0,bcAJZU,35s1,1564.0,None,d4,d4,742,1564.0,0.27198243,0.13863005,S,1
3375-0,0,bcCKWK,35s1,1319.0,None,d4,d4,700,1319.0,-0.00039901328,0.017322138,G2M,1
3376-0,0,bcHSAT,35s1,1537.0,None,d4,d4,767,1537.0,0.034689613,-0.10744685,S,1
3377-0,0,bcHCPL,35s1,959.0,None,d4,d4,566,959.0,-0.103406265,-0.21117942,G1,1
3378-0,0,bcHJDH,35s1,901.0,None,d4,d4,552,901.0,0.25731283,0.046895422,S,7
3379-0,0,bcFETP,35s1,778.0,None,d4,d4,512,778.0,-0.106043756,-0.2708719,G1,2
3380-0,0,bcBUPT,35s1,732.0,None,d4,d4,502,732.0,0.031662203,-0.007383976,S,9
3393-0,0,bcDIYE,35s1,3319.0,None,d4,d4,1299,3319.0,0.040383443,-0.08674747,S,2
3394-0,0,bcFGSB,35s1,2164.0,None,d4,d4,1005,2164.0,-0.095457956,0.5589016,G2M,3
3395-0,0,bcHLQA,35s1,1806.0,None,d4,d4,788,1806.0,0.24042407,0.061916698,S,1
3396-0,0,bcDDBS,35s1,1634.0,None,d4,d4,783,1634.0,0.21528691,-0.36615098,S,4
3397-0,0,bcFMMN,35s1,1309.0,None,d4,d4,698,1309.0,-0.0766297,-0.05499605,G1,2
3398-0,0,bcAGQJ,35s1,1125.0,None,d4,d4,571,1125.0,-0.41214672,-0.30534393,G1,5
3399-0,0,bcBLHS,35s1,981.0,None,d4,d4,587,981.0,-0.012179915,-0.16345465,G1,5
3400-0,0,bcGBJB,35s1,824.0,None,d4,d4,581,824.0,0.04545385,0.2746788,G2M,4
3415-0,0,bcDGZW,35s1,3216.0,None,d4,d4,1364,3216.0,-0.11166224,0.47411427,G2M,1
3416-0,0,bcBGHK,35s1,2385.0,None,d4,d4,1026,2385.0,0.31310272,-0.080314346,S,4
3417-0,0,bcBXVV,35s1,1698.0,None,d4,d4,820,1698.0,0.4550747,-0.060574897,S,2
3418-0,0,bcGOWN,35s1,1294.0,None,d4,d4,670,1294.0,-0.0339884,-0.27966017,G1,3
3419-0,0,bcGDKS,35s1,1161.0,None,d4,d4,694,1161.0,-0.20615458,-0.08211576,G1,3
3420-0,0,bcECGS,35s1,1169.0,None,d4,d4,584,1169.0,-0.24385832,-0.06548942,G1,0
3421-0,0,bcAPXJ,35s1,950.0,None,d4,d4,623,950.0,-0.2994145,0.22124028,G2M,1
3422-0,0,bcFLGR,35s1,888.0,None,d4,d4,588,888.0,0.17512196,0.15268835,S,2
3437-0,0,bcDFBV,35s1,4089.0,None,d4,d4,612,4089.0,-0.22049876,-0.06994036,G1,8
3438-0,0,bcECVM,35s1,2273.0,None,d4,d4,962,2273.0,0.2591148,-0.30563745,S,1
3439-0,0,bcBSFY,35s1,1695.0,None,d4,d4,812,1695.0,-0.13590811,0.55233276,G2M,4
3440-0,0,bcFLQX,35s1,1592.0,None,d4,d4,738,1592.0,-0.15603742,0.15665263,G2M,1
3441-0,0,bcEFPC,35s1,1300.0,None,d4,d4,745,1300.0,0.48191783,0.10567791,S,2
3442-0,0,bcFDCW,35s1,1072.0,None,d4,d4,603,1072.0,0.104018286,-0.2506515,S,3
3443-0,0,bcAQYU,35s1,1043.0,None,d4,d4,591,1043.0,0.12337729,-0.18395692,S,1
3444-0,0,bcDBMX,35s1,865.0,None,d4,d4,582,865.0,-0.18313032,0.40574694,G2M,0
3459-0,0,bcHJGS,35s1,2868.0,None,d4,d4,1180,2868.0,-0.15819208,-0.19195364,G1,0
3460-0,0,bcHWXD,35s1,1972.0,None,d4,d4,846,1972.0,-0.1114765,0.35727984,G2M,4
3461-0,0,bcAGFI,35s1,1520.0,None,d4,d4,757,1520.0,-0.21150531,0.11402053,G2M,5
3462-0,0,bcABAB,35s1,1285.0,None,d4,d4,788,1285.0,-0.06686117,0.46965316,G2M,0
3463-0,0,bcIIEJ,35s1,1161.0,None,d4,d4,629,1161.0,0.15310693,-0.32004496,S,0
3464-0,0,bcBORL,35s1,1061.0,None,d4,d4,611,1061.0,-0.18284106,0.5770423,G2M,7
3465-0,0,bcBMOE,35s1,883.0,None,d4,d4,543,883.0,0.025188617,0.12168454,G2M,3
3466-0,0,bcGLWA,35s1,948.0,None,d4,d4,582,948.0,0.36490345,-0.05240129,S,0
3481-0,0,bcFKJH,35s1,2653.0,None,d4,d4,1120,2653.0,-0.1690973,0.24452588,G2M,1
3482-0,0,bcBBSK,35s1,2243.0,None,d4,d4,953,2243.0,-0.080175735,0.37163413,G2M,3
3483-0,0,bcEPFP,35s1,1784.0,None,d4,d4,825,1784.0,-0.060722996,0.22905077,G2M,3
3484-0,0,bcFCVT,35s1,1341.0,None,d4,d4,702,1341.0,0.023355082,-0.24204919,S,3
3485-0,0,bcBNNA,35s1,1254.0,None,d4,d4,700,1254.0,0.07215673,-0.086057425,S,2
3486-0,0,bcFOOS,35s1,1135.0,None,d4,d4,640,1135.0,0.18920437,-0.28481868,S,2
3487-0,0,bcFHYM,35s1,969.0,None,d4,d4,607,969.0,-0.01937193,0.43771526,G2M,1
3488-0,0,bcDDOB,35s1,795.0,None,d4,d4,562,795.0,0.058154527,-0.06786035,S,2
3503-0,0,bcDUXM,35s1,2768.0,None,d4,d4,1152,2768.0,-0.18634106,0.4479311,G2M,3
3504-0,0,bcHBZX,35s1,2280.0,None,d4,d4,972,2280.0,-0.27555996,0.060428575,G2M,4
3505-0,0,bcHUXQ,35s1,1663.0,None,d4,d4,788,1663.0,-0.21318126,0.19558907,G2M,3
3506-0,0,bcCITP,35s1,1573.0,None,d4,d4,744,1573.0,-0.11609567,0.11216679,G2M,0
3507-0,0,bcHOTW,35s1,1346.0,None,d4,d4,728,1346.0,-0.3378675,0.7648676,G2M,4
3508-0,0,bcBHAK,35s1,1192.0,None,d4,d4,657,1192.0,0.25478435,-0.16965187,S,0
3509-0,0,bcABGS,35s1,965.0,None,d4,d4,611,965.0,-0.013210377,0.20537788,G2M,7
3510-0,0,bcDTBU,35s1,924.0,None,d4,d4,596,924.0,0.037685394,-0.20305236,S,1
3511-0,0,bcAVXB,35s1,734.0,None,d4,d4,527,734.0,0.21770045,-0.23423177,S,2
3525-0,0,bcAFZI,35s1,2710.0,None,d4,d4,1128,2710.0,-0.36580494,-0.0739,G1,2
3526-0,0,bcGXIL,35s1,1914.0,None,d4,d4,933,1914.0,-0.18686421,0.453553,G2M,4
3527-0,0,bcHZAE,35s1,1409.0,None,d4,d4,725,1409.0,-0.07329286,0.39467186,G2M,9
3528-0,0,bcEUYJ,35s1,1400.0,None,d4,d4,730,1400.0,-0.10601519,-0.054488882,G1,3
3529-0,0,bcGQEV,35s1,1369.0,None,d4,d4,719,1369.0,0.0802148,-0.36611533,S,3
3530-0,0,bcEAMY,35s1,1082.0,None,d4,d4,692,1082.0,0.3976752,0.42219,G2M,2
3531-0,0,bcEGMT,35s1,897.0,None,d4,d4,572,897.0,-0.35854563,-0.24381956,G1,1
3532-0,0,bcERXY,35s1,819.0,None,d4,d4,573,819.0,0.08274284,-0.10358323,S,1
3547-0,0,bcHXKP,35s1,3157.0,None,d4,d4,1180,3157.0,0.12268159,-0.29284626,S,3
3548-0,0,bcCZUA,35s1,2328.0,None,d4,d4,936,2328.0,0.30597255,-0.25782523,S,1
3549-0,0,bcGECC,35s1,1668.0,None,d4,d4,766,1668.0,-0.26536623,-0.091010846,G1,2
3550-0,0,bcAGHF,35s1,1533.0,None,d4,d4,723,1533.0,0.08463006,0.59407043,G2M,3
3551-0,0,bcEDGJ,35s1,1274.0,None,d4,d4,655,1274.0,0.18083699,0.1334678,S,4
3552-0,0,bcAZFV,35s1,947.0,None,d4,d4,595,947.0,-0.005293946,-0.094763875,G1,2
3553-0,0,bcBHDV,35s1,1008.0,None,d4,d4,615,1008.0,-0.30524492,0.28240198,G2M,1
3554-0,0,bcFBCX,35s1,893.0,None,d4,d4,547,893.0,-0.016588818,-0.46316236,G1,3
3555-0,0,bcCQLZ,35s1,756.0,None,d4,d4,546,756.0,-0.38782102,0.0791568,G2M,3
3569-0,0,bcFSDM,35s1,3069.0,None,d4,d4,1196,3069.0,0.2791691,-0.040739182,S,2
3570-0,0,bcENAG,35s1,2411.0,None,d4,d4,874,2411.0,-0.4490911,-0.29964185,G1,7
3571-0,0,bcCVOY,35s1,1660.0,None,d4,d4,719,1660.0,0.042912118,-0.22672534,S,4
3572-0,0,bcIBHC,35s1,1513.0,None,d4,d4,737,1513.0,0.3334316,-0.24484473,S,3
3573-0,0,bcGYFS,35s1,1255.0,None,d4,d4,763,1255.0,0.075054064,0.025326438,S,5
3574-0,0,bcIGAF,35s1,977.0,None,d4,d4,634,977.0,0.61900127,-0.11188799,S,2
3575-0,0,bcEIIY,35s1,897.0,None,d4,d4,586,897.0,-0.2501038,0.52092135,G2M,5
3576-0,0,bcHCRL,35s1,922.0,None,d4,d4,600,922.0,0.14444017,-0.05671198,S,1
3577-0,0,bcEAHQ,35s1,759.0,None,d4,d4,532,759.0,0.28356636,-0.15508159,S,2
3591-0,0,bcBWSY,35s1,2673.0,None,d4,d4,1115,2673.0,0.22722982,0.085978016,S,2
3592-0,0,bcGHXF,35s1,2150.0,None,d4,d4,915,2150.0,-0.0064927824,-0.3081865,G1,0
3593-0,0,bcEODI,35s1,1828.0,None,d4,d4,853,1828.0,-0.09264133,-0.18850562,G1,2
3594-0,0,bcBEIO,35s1,1527.0,None,d4,d4,756,1527.0,0.07481482,-0.06429722,S,4
3595-0,0,bcHFUW,35s1,1417.0,None,d4,d4,701,1417.0,0.23845169,-0.3632485,S,6
3596-0,0,bcGLMG,35s1,948.0,None,d4,d4,598,948.0,0.26018876,0.20276427,S,1
3597-0,0,bcIHBA,35s1,951.0,None,d4,d4,591,951.0,-0.04943441,-0.17506707,G1,0
3598-0,0,bcHPOU,35s1,862.0,None,d4,d4,569,862.0,-0.18383566,0.11984098,G2M,0
3613-0,0,bcABZN,35s1,2975.0,None,d4,d4,1244,2975.0,0.05946276,0.7577629,G2M,4
3614-0,0,bcGBCE,35s1,2276.0,None,d4,d4,977,2276.0,0.19429389,0.14173561,S,2
3615-0,0,bcGPAQ,35s1,1545.0,None,d4,d4,780,1545.0,0.48282582,-0.44669676,S,0
3616-0,0,bcBGAE,35s1,1715.0,None,d4,d4,835,1715.0,-0.0526267,0.102525786,G2M,2
3617-0,0,bcEQUD,35s1,1467.0,None,d4,d4,738,1467.0,0.19814831,-0.032748826,S,0
3618-0,0,bcHDGQ,35s1,1234.0,None,d4,d4,669,1234.0,-0.109506,0.018728327,G2M,10
3619-0,0,bcIJIQ,35s1,1139.0,None,d4,d4,612,1139.0,-0.059789326,0.2735882,G2M,4
3620-0,0,bcEMPE,35s1,895.0,None,d4,d4,552,895.0,-0.14028046,0.050266895,G2M,2
3635-0,0,bcAXDZ,35s1,2988.0,None,d4,d4,1219,2988.0,-0.1611366,0.031845454,G2M,1
3636-0,0,bcGGWI,35s1,2167.0,None,d4,d4,937,2167.0,0.13247418,-0.10190763,S,1
3637-0,0,bcCLPO,35s1,1833.0,None,d4,d4,814,1833.0,-0.06816598,-0.4099583,G1,1
3638-0,0,bcFVYL,35s1,1242.0,None,d4,d4,666,1242.0,-0.22938114,0.69735515,G2M,1
3639-0,0,bcAZXZ,35s1,1293.0,None,d4,d4,694,1293.0,-0.22818662,0.025683567,G2M,3
3640-0,0,bcCTOI,35s1,1274.0,None,d4,d4,673,1274.0,-0.050606903,-0.11835515,G1,0
3641-0,0,bcFZIH,35s1,991.0,None,d4,d4,587,991.0,-0.107242115,-0.122102946,G1,6
3642-0,0,bcIHKA,35s1,838.0,None,d4,d4,573,838.0,-0.443811,0.41548887,G2M,0
3657-0,0,bcHJHW,35s1,3021.0,None,d4,d4,1177,3021.0,0.53759074,-0.21550785,S,3
3658-0,0,bcCAUI,35s1,2162.0,None,d4,d4,958,2162.0,0.06508291,0.13842136,G2M,5
3659-0,0,bcCGWS,35s1,1547.0,None,d4,d4,801,1547.0,-0.3193468,0.089563355,G2M,2
