index,batch,cell_names,library_id,n_counts,unique_cell_id,time_id,sample_id,n_genes,n_counts_pre_norm,S_score,G2M_score,phase,leiden
1652-0,0,bcCYMF,6s1,1106.0,None,d3,d3,655,1106.0,0.34597883,0.10507419,S,3
1653-0,0,bcACVD,6s1,1043.0,None,d3,d3,608,1043.0,-0.102908686,0.046160348,G2M,4
1654-0,0,bcGKUX,6s1,739.0,None,d3,d3,591,739.0,-0.040170595,0.081937246,G2M,1
1655-0,0,bcFNZJ,6s1,712.0,None,d3,d3,592,712.0,0.018232472,0.12132733,G2M,2
1778-0,0,bcBMDY,6s1,5468.0,None,d3,d3,1911,5468.0,0.11622242,0.24426048,G2M,4
1779-0,0,bcGKVM,6s1,1352.0,None,d3,d3,659,1352.0,0.28973663,-0.24397728,S,2
1780-0,0,bcFIIW,6s1,935.0,None,d3,d3,592,935.0,-0.088749886,0.28752014,G2M,1
1781-0,0,bcGFGN,6s1,803.0,None,d3,d3,598,803.0,0.23432231,-0.0056145824,S,0
1782-0,0,bcFTMK,6s1,673.0,None,d3,d3,553,673.0,0.2402935,-0.24519037,S,0
1905-0,0,bcEEML,6s1,5621.0,None,d3,d3,2000,5621.0,0.18486758,0.20619228,G2M,4
1906-0,0,bcBIKM,6s1,1446.0,None,d3,d3,670,1446.0,0.37469327,0.066955134,S,2
1907-0,0,bcHAHC,6s1,944.0,None,d3,d3,601,944.0,-0.19331889,-0.05838881,G1,3
1908-0,0,bcBASH,6s1,751.0,None,d3,d3,557,751.0,-0.20960931,-0.16045846,G1,2
1909-0,0,bcHFLR,6s1,722.0,None,d3,d3,547,722.0,-0.11504543,0.34146255,G2M,2
2032-0,0,bcEYHJ,6s1,4896.0,None,d3,d3,1780,4896.0,0.116181165,0.5075439,G2M,3
2033-0,0,bcECYC,6s1,1381.0,None,d3,d3,638,1381.0,-0.062074423,-0.29479793,G1,0
2034-0,0,bcAMWH,6s1,892.0,None,d3,d3,638,892.0,0.019554751,-0.24575943,S,5
2035-0,0,bcCCIR,6s1,841.0,None,d3,d3,572,841.0,-0.056532726,-0.14598063,G1,4
2036-0,0,bcHIWZ,6s1,926.0,None,d3,d3,547,926.0,-0.19125807,-0.28828323,G1,0
2159-0,0,bcGWQN,6s1,4518.0,None,d3,d3,1664,4518.0,-0.26113293,-0.13020554,G1,3
2160-0,0,bcGMYB,6s1,1394.0,None,d3,d3,656,1394.0,0.43661028,-0.08980289,S,1
2161-0,0,bcANKR,6s1,882.0,None,d3,d3,675,882.0,-0.115700535,0.40536484,G2M,0
2162-0,0,bcAPBN,6s1,820.0,None,d3,d3,570,820.0,-0.056725755,-0.004549511,G1,2
2163-0,0,bcGXQM,6s1,764.0,None,d3,d3,554,764.0,-0.16594294,-0.10712727,G1,4
2286-0,0,bcFGIE,6s1,4589.0,None,d3,d3,1613,4589.0,0.11862579,0.2669107,G2M,3
2287-0,0,bcFEIG,6s1,1450.0,None,d3,d3,753,1450.0,0.10043199,-0.101339266,S,2
2288-0,0,bcAIHR,6s1,898.0,None,d3,d3,644,898.0,0.25218236,0.05571179,S,3
2289-0,0,bcBYBI,6s1,930.0,None,d3,d3,558,930.0,0.003890019,-0.22688244,S,2
2413-0,0,bcERMP,6s1,4910.0,None,d3,d3,1724,4910.0,-0.12259337,0.03264058,G2M,0
2414-0,0,bcCNOL,6s1,1256.0,None,d3,d3,674,1256.0,-0.069267735,-0.13060115,G1,2
2415-0,0,bcGVDF,6s1,1014.0,None,d3,d3,589,1014.0,-0.31030253,-0.116081454,G1,5
